,Country,ID,ACC,RT
0,Japan,CH279,1,454.0
1,Japan,CH279,1,444.0
2,Japan,CH279,1,448.0
3,Japan,CH279,1,391.0
4,Japan,CH279,1,388.0
5,Japan,CH279,1,426.0
6,Japan,CH279,1,373.0
7,Japan,CH279,1,460.0
8,Japan,CH279,1,414.0
9,Japan,CH279,1,389.0
10,Japan,CH279,1,390.0
11,Japan,CH279,1,372.0
12,Japan,CH279,1,361.0
13,Japan,CH279,1,386.0
14,Japan,CH279,1,352.0
15,Japan,CH279,1,416.0
16,Japan,CH279,1,391.0
17,Japan,CH279,1,429.0
18,Japan,CH279,1,468.0
19,Japan,CH279,1,404.0
20,Japan,CH279,1,403.0
21,Japan,CH279,1,349.0
22,Japan,CH279,1,394.0
23,Japan,CH279,1,403.0
24,Japan,CH279,1,402.0
25,Japan,CH279,1,381.0
26,Japan,CH279,1,393.0
27,Japan,CH279,1,455.0
28,Japan,CH279,1,447.0
29,Japan,CH279,1,408.0
30,Japan,CH279,1,398.0
31,Japan,CH279,1,396.0
32,Japan,CH279,1,374.0
33,Japan,CH279,1,495.0
34,Japan,CH279,1,405.0
35,Japan,CH279,1,416.0
36,Japan,CH279,1,413.0
37,Japan,CH279,0,406.0
38,Japan,CH279,1,412.0
39,Japan,CH279,1,377.0
40,Japan,CH279,1,374.0
41,Japan,CH279,1,373.0
42,Japan,CH279,1,405.0
43,Japan,CH279,1,448.0
44,Japan,CH279,1,431.0
45,Japan,CH279,1,330.0
46,Japan,CH279,1,366.0
47,Japan,CH279,1,388.0
48,Japan,CH279,1,397.0
49,Japan,CH279,1,376.0
50,Japan,CH279,1,347.0
51,Japan,CH279,1,356.0
52,Japan,CH279,1,349.0
53,Japan,CH279,1,404.0
54,Japan,CH279,1,408.0
55,Japan,CH279,1,404.0
56,Japan,CH279,1,386.0
57,Japan,CH279,1,368.0
58,Japan,CH279,1,369.0
59,Japan,CH279,1,355.0
60,Japan,CH279,1,331.0
61,Japan,CH279,1,366.0
62,Japan,CH279,1,373.0
63,Japan,CH279,1,362.0
64,Japan,CH279,1,370.0
65,Japan,CH279,1,457.0
66,Japan,CH279,1,351.0
67,Japan,CH279,1,386.0
68,Japan,CH279,1,349.0
69,Japan,CH279,1,373.0
70,Japan,CH279,1,370.0
71,Japan,CH279,1,338.0
72,Japan,CH279,1,384.0
73,Japan,CH279,1,351.0
74,Japan,CH279,1,406.0
