,Country,ID,ACC,RT
0,Japan,DNF38,1,510.53
1,Japan,DNF38,1,416.915
2,Japan,DNF38,1,472.605
3,Japan,DNF38,1,409.465
4,Japan,DNF38,1,419.095
5,Japan,DNF38,1,363.52
6,Japan,DNF38,1,429.825
7,Japan,DNF38,1,383.7
8,Japan,DNF38,1,407.36
9,Japan,DNF38,1,370.84
10,Japan,DNF38,1,399.205
11,Japan,DNF38,1,427.04
12,Japan,DNF38,1,396.41
13,Japan,DNF38,1,399.445
14,Japan,DNF38,1,363.8
15,Japan,DNF38,1,515.165
16,Japan,DNF38,1,449.16
17,Japan,DNF38,1,418.095
18,Japan,DNF38,1,462.0
19,Japan,DNF38,1,489.59
20,Japan,DNF38,1,483.65
21,Japan,DNF38,1,434.08
22,Japan,DNF38,1,410.14
23,Japan,DNF38,1,471.79
24,Japan,DNF38,1,475.865
25,Japan,DNF38,1,479.545
26,Japan,DNF38,1,396.005
27,Japan,DNF38,1,447.025
28,Japan,DNF38,1,428.66
29,Japan,DNF38,1,411.055
30,Japan,DNF38,1,441.395
31,Japan,DNF38,1,411.07
32,Japan,DNF38,1,441.425
33,Japan,DNF38,1,445.53
34,Japan,DNF38,1,443.795
35,Japan,DNF38,1,579.0
36,Japan,DNF38,1,373.64
37,Japan,DNF38,1,425.89
38,Japan,DNF38,1,390.41
39,Japan,DNF38,1,389.21
40,Japan,DNF38,1,374.88
41,Japan,DNF38,1,390.245
42,Japan,DNF38,1,382.295
43,Japan,DNF38,1,391.52
44,Japan,DNF38,1,433.32
45,Japan,DNF38,1,373.775
46,Japan,DNF38,1,384.875
47,Japan,DNF38,1,382.27
48,Japan,DNF38,1,426.61
49,Japan,DNF38,1,447.035
50,Japan,DNF38,1,411.245
51,Japan,DNF38,1,357.44
52,Japan,DNF38,1,440.135
53,Japan,DNF38,1,381.685
54,Japan,DNF38,1,398.605
55,Japan,DNF38,1,427.7450001
56,Japan,DNF38,1,353.91
57,Japan,DNF38,1,450.16
58,Japan,DNF38,1,400.49
59,Japan,DNF38,0,437.445
60,Japan,DNF38,1,350.315
61,Japan,DNF38,1,368.55
62,Japan,DNF38,1,388.415
63,Japan,DNF38,1,331.46
64,Japan,DNF38,1,357.635
65,Japan,DNF38,1,389.04
66,Japan,DNF38,1,386.34
67,Japan,DNF38,1,389.595
68,Japan,DNF38,1,398.66
69,Japan,DNF38,1,395.395
70,Japan,DNF38,1,434.37
71,Japan,DNF38,1,402.27
72,Japan,DNF38,1,377.005
73,Japan,DNF38,1,430.52
74,Japan,DNF38,1,376.185
75,Japan,DNF38,1,363.43
