,Country,ID,ACC,RT
0,Japan,FY457,1,682.09
1,Japan,FY457,1,528.84
2,Japan,FY457,1,395.93
3,Japan,FY457,1,452.425
4,Japan,FY457,1,440.485
5,Japan,FY457,1,440.78
6,Japan,FY457,1,441.69
7,Japan,FY457,1,443.065
8,Japan,FY457,1,532.165
9,Japan,FY457,1,594.22
10,Japan,FY457,1,565.39
11,Japan,FY457,1,544.11
12,Japan,FY457,1,437.135
13,Japan,FY457,1,400.815
14,Japan,FY457,1,582.725
15,Japan,FY457,1,500.62
16,Japan,FY457,1,547.52
17,Japan,FY457,1,595.025
18,Japan,FY457,1,503.09
19,Japan,FY457,1,463.395
20,Japan,FY457,1,508.015
21,Japan,FY457,1,575.345
22,Japan,FY457,1,470.8
23,Japan,FY457,0,455.63
24,Japan,FY457,1,464.81
25,Japan,FY457,1,464.175
26,Japan,FY457,1,498.49
27,Japan,FY457,1,535.14
28,Japan,FY457,1,427.625
29,Japan,FY457,1,595.43
30,Japan,FY457,1,468.285
31,Japan,FY457,1,411.465
32,Japan,FY457,1,542.94
33,Japan,FY457,1,651.895
34,Japan,FY457,1,507.94
35,Japan,FY457,1,526.82
36,Japan,FY457,1,618.44
37,Japan,FY457,1,506.165
38,Japan,FY457,0,571.285
39,Japan,FY457,1,425.785
40,Japan,FY457,1,464.41
41,Japan,FY457,1,432.15
42,Japan,FY457,1,553.035
43,Japan,FY457,1,541.105
44,Japan,FY457,1,538.825
45,Japan,FY457,1,563.99
46,Japan,FY457,1,443.205
47,Japan,FY457,1,427.655
48,Japan,FY457,1,435.325
49,Japan,FY457,1,421.88
50,Japan,FY457,1,442.645
51,Japan,FY457,1,375.81
52,Japan,FY457,1,423.345
53,Japan,FY457,1,502.935
54,Japan,FY457,1,425.15
55,Japan,FY457,1,458.99
56,Japan,FY457,1,423.105
57,Japan,FY457,1,481.14
58,Japan,FY457,1,494.985
59,Japan,FY457,1,503.275
60,Japan,FY457,1,415.78
61,Japan,FY457,1,460.31
62,Japan,FY457,1,399.62
63,Japan,FY457,1,392.71
64,Japan,FY457,1,525.625
65,Japan,FY457,0,457.3
66,Japan,FY457,1,438.97
67,Japan,FY457,1,434.18
68,Japan,FY457,1,471.31
69,Japan,FY457,1,480.775
70,Japan,FY457,1,440.52
71,Japan,FY457,1,419.745
72,Japan,FY457,1,430.48
73,Japan,FY457,1,464.46
