,Country,ID,ACC,RT
0,Japan,GA053,1,342.0
1,Japan,GA053,1,380.0
2,Japan,GA053,1,379.0
3,Japan,GA053,1,312.0
4,Japan,GA053,1,348.0
5,Japan,GA053,1,247.0
6,Japan,GA053,1,265.0
7,Japan,GA053,1,370.0
8,Japan,GA053,1,363.0
9,Japan,GA053,1,326.0
10,Japan,GA053,1,289.0
11,Japan,GA053,1,368.0
12,Japan,GA053,1,380.0
13,Japan,GA053,1,370.0
14,Japan,GA053,1,327.0
15,Japan,GA053,1,289.0
16,Japan,GA053,1,319.0
17,Japan,GA053,1,380.0
18,Japan,GA053,1,366.0
19,Japan,GA053,1,323.0
20,Japan,GA053,1,270.0
21,Japan,GA053,1,298.0
22,Japan,GA053,1,312.0
23,Japan,GA053,1,307.0
24,Japan,GA053,0,315.0
25,Japan,GA053,1,341.0
26,Japan,GA053,1,290.0
27,Japan,GA053,1,336.0
28,Japan,GA053,1,370.0
29,Japan,GA053,1,326.0
30,Japan,GA053,1,317.0
31,Japan,GA053,0,306.0
32,Japan,GA053,1,284.0
33,Japan,GA053,1,307.0
34,Japan,GA053,1,323.0
35,Japan,GA053,1,406.0
36,Japan,GA053,1,463.0
37,Japan,GA053,1,347.0
38,Japan,GA053,1,389.0
39,Japan,GA053,0,276.0
40,Japan,GA053,0,353.0
41,Japan,GA053,1,362.0
42,Japan,GA053,1,320.0
43,Japan,GA053,1,318.0
44,Japan,GA053,1,295.0
45,Japan,GA053,1,396.0
46,Japan,GA053,1,286.0
47,Japan,GA053,1,343.0
48,Japan,GA053,1,248.0
49,Japan,GA053,1,228.0
50,Japan,GA053,1,329.0
51,Japan,GA053,1,300.0
52,Japan,GA053,1,308.0
53,Japan,GA053,1,455.0
54,Japan,GA053,1,504.0
55,Japan,GA053,1,375.0
56,Japan,GA053,1,314.0
57,Japan,GA053,1,300.0
58,Japan,GA053,1,321.0
59,Japan,GA053,1,332.0
60,Japan,GA053,1,353.0
61,Japan,GA053,1,266.0
62,Japan,GA053,1,352.0
63,Japan,GA053,1,345.0
64,Japan,GA053,1,448.0
65,Japan,GA053,1,403.0
66,Japan,GA053,1,274.0
67,Japan,GA053,1,337.0
68,Japan,GA053,1,294.0
69,Japan,GA053,1,405.0
70,Japan,GA053,1,306.0
71,Japan,GA053,1,299.0
72,Japan,GA053,1,389.0
