,Country,ID,ACC,RT
0,Japan,HA057,1,409.255
1,Japan,HA057,1,386.43
2,Japan,HA057,1,339.015
3,Japan,HA057,1,410.47
4,Japan,HA057,1,399.89
5,Japan,HA057,1,440.1
6,Japan,HA057,1,350.325
7,Japan,HA057,1,364.76
8,Japan,HA057,1,361.815
9,Japan,HA057,1,315.42
10,Japan,HA057,1,325.385
11,Japan,HA057,1,404.125
12,Japan,HA057,1,364.025
13,Japan,HA057,1,379.57
14,Japan,HA057,1,394.235
15,Japan,HA057,1,340.73
16,Japan,HA057,1,480.305
17,Japan,HA057,1,451.61
18,Japan,HA057,1,363.72
19,Japan,HA057,1,377.615
20,Japan,HA057,1,401.08
21,Japan,HA057,1,376.945
22,Japan,HA057,1,469.235
23,Japan,HA057,1,352.97
24,Japan,HA057,1,344.65
25,Japan,HA057,1,354.775
26,Japan,HA057,1,332.66
27,Japan,HA057,1,383.545
28,Japan,HA057,1,405.505
29,Japan,HA057,1,435.82
30,Japan,HA057,1,430.025
31,Japan,HA057,1,393.315
32,Japan,HA057,0,379.18
33,Japan,HA057,1,440.8
34,Japan,HA057,1,349.835
35,Japan,HA057,1,330.845
36,Japan,HA057,1,370.16
37,Japan,HA057,1,376.9
38,Japan,HA057,1,379.46
39,Japan,HA057,1,375.335
40,Japan,HA057,1,419.805
41,Japan,HA057,1,311.705
42,Japan,HA057,1,394.2
43,Japan,HA057,1,321.015
44,Japan,HA057,1,367.625
45,Japan,HA057,0,346.735
46,Japan,HA057,1,359.235
47,Japan,HA057,1,327.9
48,Japan,HA057,1,304.79
49,Japan,HA057,1,362.245
50,Japan,HA057,1,344.255
51,Japan,HA057,1,332.91
52,Japan,HA057,1,349.46
53,Japan,HA057,1,303.95
54,Japan,HA057,1,317.54
55,Japan,HA057,1,325.15
56,Japan,HA057,1,315.72
57,Japan,HA057,1,397.275
58,Japan,HA057,1,373.88
59,Japan,HA057,1,404.695
60,Japan,HA057,0,348.675
61,Japan,HA057,1,386.04
62,Japan,HA057,1,371.255
63,Japan,HA057,1,345.18
64,Japan,HA057,1,382.255
65,Japan,HA057,1,350.405
66,Japan,HA057,1,329.235
67,Japan,HA057,1,357.26
68,Japan,HA057,1,371.33
69,Japan,HA057,1,371.455
70,Japan,HA057,1,366.47
71,Japan,HA057,0,388.235
72,Japan,HA057,1,340.23
