,Country,ID,ACC,RT
0,Japan,HH467,1,514.26
1,Japan,HH467,1,417.185
2,Japan,HH467,1,385.53
3,Japan,HH467,1,430.5
4,Japan,HH467,1,423.05
5,Japan,HH467,1,343.645
6,Japan,HH467,1,360.36
7,Japan,HH467,1,438.52
8,Japan,HH467,1,393.235
9,Japan,HH467,1,388.905
10,Japan,HH467,1,434.29
11,Japan,HH467,0,351.19
12,Japan,HH467,1,414.965
13,Japan,HH467,1,380.165
14,Japan,HH467,1,478.03
15,Japan,HH467,1,463.17
16,Japan,HH467,1,491.185
17,Japan,HH467,1,439.46
18,Japan,HH467,1,384.16
19,Japan,HH467,1,390.65
20,Japan,HH467,0,391.375
21,Japan,HH467,1,427.95
22,Japan,HH467,1,379.11
23,Japan,HH467,0,455.2
24,Japan,HH467,1,501.805
25,Japan,HH467,0,431.57
26,Japan,HH467,1,468.75
27,Japan,HH467,1,444.08
28,Japan,HH467,1,401.265
29,Japan,HH467,1,367.68
30,Japan,HH467,1,468.255
31,Japan,HH467,1,499.5
32,Japan,HH467,1,459.845
33,Japan,HH467,1,471.34
34,Japan,HH467,1,438.755
35,Japan,HH467,1,403.63
36,Japan,HH467,0,466.415
37,Japan,HH467,1,388.665
38,Japan,HH467,1,443.235
39,Japan,HH467,1,399.07
40,Japan,HH467,1,475.5
41,Japan,HH467,1,390.975
42,Japan,HH467,0,355.405
43,Japan,HH467,1,359.1
44,Japan,HH467,1,357.22
45,Japan,HH467,1,472.61
46,Japan,HH467,1,410.82
47,Japan,HH467,1,473.685
48,Japan,HH467,1,391.03
49,Japan,HH467,1,469.34
50,Japan,HH467,1,400.845
51,Japan,HH467,1,412.275
52,Japan,HH467,1,401.085
53,Japan,HH467,1,437.255
54,Japan,HH467,1,492.03
55,Japan,HH467,1,448.915
56,Japan,HH467,1,390.245
57,Japan,HH467,1,410.42
58,Japan,HH467,1,481.725
59,Japan,HH467,1,438.645
60,Japan,HH467,1,430.27
61,Japan,HH467,1,412.195
62,Japan,HH467,1,391.3
63,Japan,HH467,1,468.625
64,Japan,HH467,1,431.145
65,Japan,HH467,1,462.88
66,Japan,HH467,1,428.995
67,Japan,HH467,1,410.575
68,Japan,HH467,1,469.3
