,Country,ID,ACC,RT
0,Japan,HK930,1,493.71
1,Japan,HK930,1,501.935
2,Japan,HK930,1,433.44
3,Japan,HK930,1,524.26
4,Japan,HK930,1,482.4
5,Japan,HK930,1,468.585
6,Japan,HK930,1,450.2
7,Japan,HK930,1,470.76
8,Japan,HK930,1,488.775
9,Japan,HK930,1,407.45
10,Japan,HK930,1,394.73
11,Japan,HK930,1,464.58
12,Japan,HK930,1,417.245
13,Japan,HK930,1,444.7
14,Japan,HK930,1,377.835
15,Japan,HK930,1,387.555
16,Japan,HK930,1,441.84
17,Japan,HK930,1,391.27
18,Japan,HK930,1,440.83
19,Japan,HK930,1,469.04
20,Japan,HK930,1,450.22
21,Japan,HK930,1,392.955
22,Japan,HK930,1,431.02
23,Japan,HK930,1,441.82
24,Japan,HK930,1,438.565
25,Japan,HK930,1,449.26
26,Japan,HK930,1,473.965
27,Japan,HK930,1,469.295
28,Japan,HK930,1,465.165
29,Japan,HK930,1,381.555
30,Japan,HK930,1,413.085
31,Japan,HK930,1,387.205
32,Japan,HK930,0,506.895
33,Japan,HK930,1,417.215
34,Japan,HK930,1,500.885
35,Japan,HK930,1,517.15
36,Japan,HK930,1,402.86
37,Japan,HK930,1,414.08
38,Japan,HK930,1,428.95
39,Japan,HK930,1,430.985
40,Japan,HK930,1,457.13
41,Japan,HK930,1,404.12
42,Japan,HK930,1,430.045
43,Japan,HK930,1,436.57
44,Japan,HK930,1,415.68
45,Japan,HK930,1,372.605
46,Japan,HK930,1,443.305
47,Japan,HK930,1,366.59
48,Japan,HK930,1,423.655
49,Japan,HK930,1,424.94
50,Japan,HK930,1,428.34
51,Japan,HK930,1,393.315
52,Japan,HK930,1,397.425
53,Japan,HK930,1,414.1
54,Japan,HK930,1,414.685
55,Japan,HK930,0,425.7
56,Japan,HK930,1,379.975
57,Japan,HK930,1,383.935
58,Japan,HK930,1,403.555
59,Japan,HK930,1,434.29
60,Japan,HK930,1,408.165
61,Japan,HK930,1,384.135
62,Japan,HK930,1,423.68
63,Japan,HK930,1,453.585
64,Japan,HK930,1,402.09
65,Japan,HK930,1,382.68
66,Japan,HK930,1,393.955
67,Japan,HK930,1,468.875
68,Japan,HK930,1,408.065
69,Japan,HK930,1,480.28
70,Japan,HK930,1,403.03
71,Japan,HK930,1,425.38
72,Japan,HK930,1,391.48
73,Japan,HK930,1,470.09
