,Country,ID,ACC,RT
0,Japan,KT883,1,526.465
1,Japan,KT883,1,807.115
2,Japan,KT883,1,593.06
3,Japan,KT883,1,509.155
4,Japan,KT883,1,633.68
5,Japan,KT883,1,491.1
6,Japan,KT883,1,608.94
7,Japan,KT883,0,543.72
8,Japan,KT883,1,539.15
9,Japan,KT883,1,617.43
10,Japan,KT883,1,526.145
11,Japan,KT883,1,556.76
12,Japan,KT883,1,493.34
13,Japan,KT883,1,560.3
14,Japan,KT883,1,533.165
15,Japan,KT883,1,492.26
16,Japan,KT883,1,524.9
17,Japan,KT883,1,412.905
18,Japan,KT883,1,574.715
19,Japan,KT883,1,470.925
20,Japan,KT883,1,514.225
21,Japan,KT883,1,502.125
22,Japan,KT883,1,496.125
23,Japan,KT883,1,466.42
24,Japan,KT883,1,631.63
25,Japan,KT883,1,474.095
26,Japan,KT883,1,632.65
27,Japan,KT883,1,598.8
28,Japan,KT883,1,433.79
29,Japan,KT883,1,345.275
30,Japan,KT883,1,481.99
31,Japan,KT883,1,561.32
32,Japan,KT883,1,408.725
33,Japan,KT883,1,404.475
34,Japan,KT883,1,461.855
35,Japan,KT883,1,733.855
36,Japan,KT883,1,524.585
37,Japan,KT883,1,515.47
38,Japan,KT883,1,562.72
39,Japan,KT883,1,434.58
40,Japan,KT883,1,446.105
41,Japan,KT883,1,547.23
42,Japan,KT883,1,494.115
43,Japan,KT883,1,504.19
44,Japan,KT883,1,521.12
45,Japan,KT883,1,528.255
46,Japan,KT883,1,460.035
47,Japan,KT883,1,478.775
48,Japan,KT883,1,488.91
49,Japan,KT883,1,389.16
50,Japan,KT883,1,417.175
51,Japan,KT883,1,473.265
52,Japan,KT883,1,424.495
53,Japan,KT883,1,520.67
54,Japan,KT883,1,470.16
55,Japan,KT883,1,462.585
56,Japan,KT883,1,508.025
57,Japan,KT883,1,516.245
58,Japan,KT883,1,386.07
59,Japan,KT883,1,428.87
60,Japan,KT883,1,452.38
61,Japan,KT883,1,457.895
62,Japan,KT883,1,476.275
63,Japan,KT883,1,416.78
64,Japan,KT883,1,553.525
65,Japan,KT883,1,420.995
66,Japan,KT883,1,497.12
67,Japan,KT883,1,507.635
68,Japan,KT883,1,453.74
69,Japan,KT883,1,539.715
70,Japan,KT883,1,460.78
71,Japan,KT883,1,464.945
72,Japan,KT883,1,428.685
73,Japan,KT883,1,547.53
