,Country,ID,ACC,RT
0,Japan,MK344,1,417.455
1,Japan,MK344,1,426.995
2,Japan,MK344,1,459.69
3,Japan,MK344,1,426.44
4,Japan,MK344,1,460.9149999
5,Japan,MK344,1,419.835
6,Japan,MK344,1,409.625
7,Japan,MK344,1,467.825
8,Japan,MK344,1,414.255
9,Japan,MK344,1,461.145
10,Japan,MK344,1,431.79
11,Japan,MK344,1,438.615
12,Japan,MK344,1,406.77
13,Japan,MK344,1,410.215
14,Japan,MK344,1,408.25
15,Japan,MK344,1,506.29
16,Japan,MK344,1,406.24
17,Japan,MK344,1,415.855
18,Japan,MK344,1,412.83
19,Japan,MK344,1,478.03
20,Japan,MK344,1,465.8
21,Japan,MK344,1,377.895
22,Japan,MK344,1,464.9650001
23,Japan,MK344,1,440.415
24,Japan,MK344,1,390.145
25,Japan,MK344,1,425.22
26,Japan,MK344,1,475.82
27,Japan,MK344,1,477.705
28,Japan,MK344,1,384.64
29,Japan,MK344,1,411.38
30,Japan,MK344,1,431.53
31,Japan,MK344,1,374.55
32,Japan,MK344,1,468.38
33,Japan,MK344,1,426.42
34,Japan,MK344,1,417.0
35,Japan,MK344,1,427.655
36,Japan,MK344,1,379.935
37,Japan,MK344,1,433.88
38,Japan,MK344,1,395.725
39,Japan,MK344,1,575.075
40,Japan,MK344,1,396.515
41,Japan,MK344,1,502.02
42,Japan,MK344,1,392.4299999
43,Japan,MK344,1,436.11
44,Japan,MK344,1,432.81
45,Japan,MK344,1,369.88
46,Japan,MK344,1,365.075
47,Japan,MK344,1,565.145
48,Japan,MK344,1,406.195
49,Japan,MK344,1,373.04
50,Japan,MK344,1,367.68
51,Japan,MK344,1,395.45
52,Japan,MK344,1,378.955
53,Japan,MK344,1,393.635
54,Japan,MK344,1,372.97
55,Japan,MK344,1,422.36
56,Japan,MK344,1,394.955
57,Japan,MK344,1,347.705
58,Japan,MK344,1,386.33
59,Japan,MK344,1,367.765
60,Japan,MK344,1,480.345
61,Japan,MK344,1,398.425
62,Japan,MK344,1,410.095
63,Japan,MK344,1,483.005
64,Japan,MK344,1,507.355
65,Japan,MK344,1,360.275
66,Japan,MK344,1,365.82
67,Japan,MK344,1,356.83
68,Japan,MK344,1,362.785
69,Japan,MK344,1,337.0999999
70,Japan,MK344,1,366.46
71,Japan,MK344,1,393.135
72,Japan,MK344,1,386.965
73,Japan,MK344,1,355.765
74,Japan,MK344,1,360.28
75,Japan,MK344,1,397.845
76,Japan,MK344,1,494.285
77,Japan,MK344,1,311.32
