,Country,ID,ACC,RT
0,Japan,MM268,1,444.73
1,Japan,MM268,1,441.71
2,Japan,MM268,1,353.65
3,Japan,MM268,1,499.725
4,Japan,MM268,1,473.9949999
5,Japan,MM268,1,426.985
6,Japan,MM268,1,429.075
7,Japan,MM268,1,429.95
8,Japan,MM268,1,653.09
9,Japan,MM268,1,689.15
10,Japan,MM268,1,509.165
11,Japan,MM268,1,455.105
12,Japan,MM268,1,508.83
13,Japan,MM268,1,395.995
14,Japan,MM268,1,430.815
15,Japan,MM268,1,408.1
16,Japan,MM268,1,399.505
17,Japan,MM268,1,676.575
18,Japan,MM268,1,403.755
19,Japan,MM268,1,430.37
20,Japan,MM268,1,404.81
21,Japan,MM268,1,391.63
22,Japan,MM268,1,413.56
23,Japan,MM268,1,396.93
24,Japan,MM268,1,395.24
25,Japan,MM268,1,376.89
26,Japan,MM268,1,431.83
27,Japan,MM268,1,1117.18
28,Japan,MM268,1,403.01
29,Japan,MM268,1,400.88
30,Japan,MM268,1,442.51
31,Japan,MM268,1,428.685
32,Japan,MM268,1,368.175
33,Japan,MM268,1,420.735
34,Japan,MM268,1,364.145
35,Japan,MM268,1,462.805
36,Japan,MM268,1,389.755
37,Japan,MM268,1,426.18
38,Japan,MM268,1,392.05
39,Japan,MM268,1,391.345
40,Japan,MM268,1,409.35
41,Japan,MM268,1,384.675
42,Japan,MM268,1,460.275
43,Japan,MM268,1,493.235
44,Japan,MM268,1,394.355
45,Japan,MM268,1,374.56
46,Japan,MM268,1,446.075
47,Japan,MM268,1,353.975
48,Japan,MM268,1,443.075
49,Japan,MM268,1,480.805
50,Japan,MM268,1,468.575
51,Japan,MM268,1,399.865
52,Japan,MM268,1,464.165
53,Japan,MM268,1,416.44
54,Japan,MM268,1,447.6749999
55,Japan,MM268,1,440.4500001
56,Japan,MM268,1,407.25
57,Japan,MM268,1,367.435
58,Japan,MM268,1,381.125
59,Japan,MM268,1,430.245
60,Japan,MM268,1,425.74
61,Japan,MM268,1,404.0
62,Japan,MM268,1,425.49
63,Japan,MM268,1,465.57
64,Japan,MM268,1,430.105
65,Japan,MM268,1,433.485
66,Japan,MM268,1,429.73
67,Japan,MM268,1,478.755
68,Japan,MM268,1,414.835
69,Japan,MM268,1,393.7
70,Japan,MM268,1,393.885
71,Japan,MM268,1,365.17
72,Japan,MM268,1,366.43
73,Japan,MM268,1,420.29
74,Japan,MM268,1,363.175
75,Japan,MM268,1,386.9
76,Japan,MM268,1,415.265
77,Japan,MM268,1,369.565
