,Country,ID,ACC,RT
0,Japan,MO025,1,654.265
1,Japan,MO025,1,552.57
2,Japan,MO025,1,418.07
3,Japan,MO025,1,347.3
4,Japan,MO025,1,341.855
5,Japan,MO025,1,357.33
6,Japan,MO025,1,359.175
7,Japan,MO025,1,338.31
8,Japan,MO025,1,512.69
9,Japan,MO025,1,508.665
10,Japan,MO025,1,577.58
11,Japan,MO025,0,362.41
12,Japan,MO025,1,518.3
13,Japan,MO025,1,538.83
14,Japan,MO025,1,379.82
15,Japan,MO025,1,527.595
16,Japan,MO025,1,481.61
17,Japan,MO025,1,639.485
18,Japan,MO025,1,322.335
19,Japan,MO025,1,483.79
20,Japan,MO025,1,500.13
21,Japan,MO025,1,558.41
22,Japan,MO025,1,442.66
23,Japan,MO025,1,496.2
24,Japan,MO025,1,551.33
25,Japan,MO025,1,482.645
26,Japan,MO025,1,518.31
27,Japan,MO025,0,542.115
28,Japan,MO025,1,557.635
29,Japan,MO025,1,476.68
30,Japan,MO025,1,453.26
31,Japan,MO025,1,453.995
32,Japan,MO025,1,426.18
33,Japan,MO025,1,564.365
34,Japan,MO025,1,423.59
35,Japan,MO025,1,429.86
36,Japan,MO025,1,512.445
37,Japan,MO025,1,528.37
38,Japan,MO025,1,463.52
39,Japan,MO025,1,526.29
40,Japan,MO025,1,449.91
41,Japan,MO025,1,374.815
42,Japan,MO025,1,384.4
43,Japan,MO025,1,506.44
44,Japan,MO025,1,407.02
45,Japan,MO025,1,470.08
46,Japan,MO025,1,381.42
47,Japan,MO025,1,472.905
48,Japan,MO025,1,380.09
49,Japan,MO025,1,576.885
50,Japan,MO025,1,479.04
51,Japan,MO025,1,352.065
52,Japan,MO025,1,426.085
53,Japan,MO025,1,510.655
54,Japan,MO025,1,505.615
55,Japan,MO025,1,424.735
56,Japan,MO025,1,550.165
57,Japan,MO025,1,521.765
58,Japan,MO025,1,517.185
59,Japan,MO025,1,525.75
60,Japan,MO025,1,532.62
61,Japan,MO025,1,434.035
62,Japan,MO025,1,399.545
63,Japan,MO025,1,423.34
64,Japan,MO025,1,394.36
65,Japan,MO025,1,434.08
66,Japan,MO025,1,415.96
67,Japan,MO025,1,486.96
68,Japan,MO025,1,462.04
69,Japan,MO025,1,436.435
70,Japan,MO025,1,472.56
71,Japan,MO025,1,418.4
72,Japan,MO025,1,490.285
73,Japan,MO025,1,507.695
74,Japan,MO025,1,511.44
75,Japan,MO025,1,470.795
