,Country,ID,ACC,RT
0,Japan,MT550,1,367.71
1,Japan,MT550,1,401.885
2,Japan,MT550,1,421.075
3,Japan,MT550,1,475.235
4,Japan,MT550,1,494.645
5,Japan,MT550,1,357.725
6,Japan,MT550,1,500.23
7,Japan,MT550,1,388.22
8,Japan,MT550,1,394.415
9,Japan,MT550,1,355.15
10,Japan,MT550,1,405.875
11,Japan,MT550,1,365.08
12,Japan,MT550,1,333.38
13,Japan,MT550,1,396.465
14,Japan,MT550,1,429.555
15,Japan,MT550,1,410.61
16,Japan,MT550,1,405.535
17,Japan,MT550,1,443.535
18,Japan,MT550,1,427.265
19,Japan,MT550,1,358.215
20,Japan,MT550,1,417.52
21,Japan,MT550,1,382.615
22,Japan,MT550,1,393.885
23,Japan,MT550,1,382.91
24,Japan,MT550,1,480.25
25,Japan,MT550,1,479.055
26,Japan,MT550,1,484.305
27,Japan,MT550,1,376.975
28,Japan,MT550,1,454.0
29,Japan,MT550,1,417.39
30,Japan,MT550,1,410.36
31,Japan,MT550,1,470.945
32,Japan,MT550,1,405.72
33,Japan,MT550,1,407.62
34,Japan,MT550,1,411.14
35,Japan,MT550,1,407.165
36,Japan,MT550,1,369.12
37,Japan,MT550,1,376.125
38,Japan,MT550,1,372.485
39,Japan,MT550,1,316.65
40,Japan,MT550,1,356.165
41,Japan,MT550,1,380.035
42,Japan,MT550,1,367.205
43,Japan,MT550,1,363.47
44,Japan,MT550,1,394.67
45,Japan,MT550,1,360.84
46,Japan,MT550,1,353.29
47,Japan,MT550,1,412.295
48,Japan,MT550,1,329.49
49,Japan,MT550,1,322.68
50,Japan,MT550,1,400.765
51,Japan,MT550,1,400.3
52,Japan,MT550,1,401.54
53,Japan,MT550,1,371.34
54,Japan,MT550,1,351.95
55,Japan,MT550,1,312.73
56,Japan,MT550,1,376.575
57,Japan,MT550,1,388.095
58,Japan,MT550,1,315.725
59,Japan,MT550,1,355.885
60,Japan,MT550,1,352.58
61,Japan,MT550,1,351.625
62,Japan,MT550,1,342.455
63,Japan,MT550,1,378.56
64,Japan,MT550,1,374.775
65,Japan,MT550,1,369.34
66,Japan,MT550,1,382.81
67,Japan,MT550,1,386.335
68,Japan,MT550,1,402.575
69,Japan,MT550,1,402.68
70,Japan,MT550,1,409.04
71,Japan,MT550,1,404.765
72,Japan,MT550,1,383.555
73,Japan,MT550,1,343.82
74,Japan,MT550,1,385.28
