,Country,ID,ACC,RT
0,Japan,NT539,1,416.0
1,Japan,NT539,1,517.0
2,Japan,NT539,1,491.0
3,Japan,NT539,1,483.0
4,Japan,NT539,0,546.0
5,Japan,NT539,1,466.0
6,Japan,NT539,1,492.0
7,Japan,NT539,1,501.0
8,Japan,NT539,1,469.0
9,Japan,NT539,1,500.0
10,Japan,NT539,1,454.0
11,Japan,NT539,1,456.0
12,Japan,NT539,1,418.0
13,Japan,NT539,1,524.0
14,Japan,NT539,1,413.0
15,Japan,NT539,1,455.0
16,Japan,NT539,1,479.0
17,Japan,NT539,1,513.0
18,Japan,NT539,1,487.0
19,Japan,NT539,1,465.0
20,Japan,NT539,1,468.0
21,Japan,NT539,1,550.0
22,Japan,NT539,1,496.0
23,Japan,NT539,1,451.0
24,Japan,NT539,1,485.0
25,Japan,NT539,1,446.0
26,Japan,NT539,1,529.0
27,Japan,NT539,1,438.0
28,Japan,NT539,1,443.0
29,Japan,NT539,1,485.0
30,Japan,NT539,0,464.0
31,Japan,NT539,1,531.0
32,Japan,NT539,1,582.0
33,Japan,NT539,1,479.0
34,Japan,NT539,1,419.0
35,Japan,NT539,1,415.0
36,Japan,NT539,1,505.0
37,Japan,NT539,1,340.0
38,Japan,NT539,1,404.0
39,Japan,NT539,1,353.0
40,Japan,NT539,1,456.0
41,Japan,NT539,1,371.0
42,Japan,NT539,1,376.0
43,Japan,NT539,1,458.0
44,Japan,NT539,1,497.0
45,Japan,NT539,1,381.0
46,Japan,NT539,1,372.0
47,Japan,NT539,1,370.0
48,Japan,NT539,1,390.0
49,Japan,NT539,1,405.0
50,Japan,NT539,1,368.0
51,Japan,NT539,1,456.0
52,Japan,NT539,1,410.0
53,Japan,NT539,1,407.0
54,Japan,NT539,1,379.0
55,Japan,NT539,1,504.0
56,Japan,NT539,1,370.0
57,Japan,NT539,1,383.0
58,Japan,NT539,1,423.0
59,Japan,NT539,1,408.0
60,Japan,NT539,1,446.0
61,Japan,NT539,1,403.0
62,Japan,NT539,1,425.0
63,Japan,NT539,1,417.0
64,Japan,NT539,1,374.0
65,Japan,NT539,1,452.0
66,Japan,NT539,1,394.0
67,Japan,NT539,1,388.0
68,Japan,NT539,1,464.0
69,Japan,NT539,1,419.0
70,Japan,NT539,1,452.0
71,Japan,NT539,1,390.0
72,Japan,NT539,1,391.0
73,Japan,NT539,1,394.0
