,Country,ID,ACC,RT
0,Japan,OA294,1,720.0
1,Japan,OA294,1,818.0
2,Japan,OA294,1,778.0
3,Japan,OA294,1,877.0
4,Japan,OA294,1,655.0
5,Japan,OA294,1,812.0
6,Japan,OA294,1,622.0
7,Japan,OA294,1,589.0
8,Japan,OA294,1,653.0
9,Japan,OA294,1,696.0
10,Japan,OA294,1,974.0
11,Japan,OA294,1,660.0
12,Japan,OA294,1,726.0
13,Japan,OA294,1,663.0
14,Japan,OA294,1,724.0
15,Japan,OA294,1,632.0
16,Japan,OA294,1,727.0
17,Japan,OA294,1,659.0
18,Japan,OA294,1,634.0
19,Japan,OA294,1,790.0
20,Japan,OA294,1,568.0
21,Japan,OA294,1,851.0
22,Japan,OA294,1,573.0
23,Japan,OA294,1,660.0
24,Japan,OA294,1,632.0
25,Japan,OA294,1,653.0
26,Japan,OA294,1,651.0
27,Japan,OA294,1,467.0
28,Japan,OA294,1,631.0
29,Japan,OA294,1,444.0
30,Japan,OA294,1,530.0
31,Japan,OA294,1,723.0
32,Japan,OA294,1,590.0
33,Japan,OA294,1,723.0
34,Japan,OA294,1,656.0
35,Japan,OA294,1,633.0
36,Japan,OA294,1,876.0
37,Japan,OA294,1,782.0
38,Japan,OA294,1,724.0
39,Japan,OA294,1,661.0
40,Japan,OA294,1,783.0
41,Japan,OA294,1,718.0
42,Japan,OA294,1,621.0
43,Japan,OA294,1,589.0
44,Japan,OA294,1,618.0
45,Japan,OA294,1,560.0
46,Japan,OA294,1,563.0
47,Japan,OA294,1,721.0
48,Japan,OA294,1,633.0
49,Japan,OA294,1,682.0
50,Japan,OA294,1,652.0
51,Japan,OA294,1,728.0
52,Japan,OA294,1,531.0
53,Japan,OA294,1,562.0
54,Japan,OA294,1,762.0
55,Japan,OA294,1,500.0
56,Japan,OA294,1,788.0
57,Japan,OA294,1,557.0
58,Japan,OA294,1,787.0
59,Japan,OA294,1,560.0
60,Japan,OA294,0,566.0
61,Japan,OA294,0,681.0
62,Japan,OA294,0,441.0
63,Japan,OA294,0,590.0
64,Japan,OA294,0,560.0
65,Japan,OA294,0,529.0
66,Japan,OA294,0,534.0
