,Country,ID,ACC,RT
0,Japan,RAG555,1,480.065
1,Japan,RAG555,1,507.285
2,Japan,RAG555,1,525.71
3,Japan,RAG555,1,504.495
4,Japan,RAG555,1,425.72
5,Japan,RAG555,1,438.52
6,Japan,RAG555,1,522.7
7,Japan,RAG555,1,413.475
8,Japan,RAG555,1,507.01
9,Japan,RAG555,1,469.49
10,Japan,RAG555,1,488.29
11,Japan,RAG555,1,450.38
12,Japan,RAG555,1,529.6
13,Japan,RAG555,1,483.785
14,Japan,RAG555,1,485.685
15,Japan,RAG555,1,506.06
16,Japan,RAG555,1,491.815
17,Japan,RAG555,1,470.72
18,Japan,RAG555,1,470.64
19,Japan,RAG555,1,515.24
20,Japan,RAG555,1,467.425
21,Japan,RAG555,1,412.14
22,Japan,RAG555,1,412.45
23,Japan,RAG555,1,504.455
24,Japan,RAG555,1,440.61
25,Japan,RAG555,0,495.765
26,Japan,RAG555,1,481.5
27,Japan,RAG555,1,430.145
28,Japan,RAG555,1,450.735
29,Japan,RAG555,1,453.605
30,Japan,RAG555,1,425.62
31,Japan,RAG555,1,470.76
32,Japan,RAG555,1,512.625
33,Japan,RAG555,1,481.9
34,Japan,RAG555,1,513.255
35,Japan,RAG555,1,486.685
36,Japan,RAG555,1,505.05
37,Japan,RAG555,1,450.855
38,Japan,RAG555,1,457.225
39,Japan,RAG555,1,404.56
40,Japan,RAG555,1,431.0
41,Japan,RAG555,1,395.695
42,Japan,RAG555,1,395.275
43,Japan,RAG555,1,432.1
44,Japan,RAG555,1,421.905
45,Japan,RAG555,1,474.24
46,Japan,RAG555,1,427.82
47,Japan,RAG555,1,417.22
48,Japan,RAG555,1,468.23
49,Japan,RAG555,1,399.655
50,Japan,RAG555,1,482.225
51,Japan,RAG555,1,415.82
52,Japan,RAG555,1,420.785
53,Japan,RAG555,1,421.17
54,Japan,RAG555,1,399.87
55,Japan,RAG555,1,395.455
56,Japan,RAG555,1,439.1
57,Japan,RAG555,1,394.345
58,Japan,RAG555,1,418.41
59,Japan,RAG555,1,405.67
60,Japan,RAG555,1,393.04
61,Japan,RAG555,1,431.565
62,Japan,RAG555,1,403.29
63,Japan,RAG555,1,456.435
64,Japan,RAG555,1,386.39
65,Japan,RAG555,1,436.345
66,Japan,RAG555,1,376.43
67,Japan,RAG555,1,403.08
68,Japan,RAG555,1,408.825
69,Japan,RAG555,1,443.46
70,Japan,RAG555,1,471.845
71,Japan,RAG555,1,402.85
72,Japan,RAG555,1,425.835
73,Japan,RAG555,1,448.28
74,Japan,RAG555,1,421.065
