,Country,ID,ACC,RT
0,Japan,RJ582,1,350.0
1,Japan,RJ582,1,395.0
2,Japan,RJ582,1,363.0
3,Japan,RJ582,1,415.0
4,Japan,RJ582,0,386.0
5,Japan,RJ582,1,313.0
6,Japan,RJ582,1,422.0
7,Japan,RJ582,1,407.0
8,Japan,RJ582,1,339.0
9,Japan,RJ582,1,369.0
10,Japan,RJ582,0,471.0
11,Japan,RJ582,1,436.0
12,Japan,RJ582,1,359.0
13,Japan,RJ582,1,435.0
14,Japan,RJ582,0,423.0
15,Japan,RJ582,1,453.0
16,Japan,RJ582,1,405.0
17,Japan,RJ582,0,408.0
18,Japan,RJ582,1,379.0
19,Japan,RJ582,1,450.0
20,Japan,RJ582,1,447.0
21,Japan,RJ582,1,391.0
22,Japan,RJ582,1,472.0
23,Japan,RJ582,0,428.0
24,Japan,RJ582,0,430.0
25,Japan,RJ582,1,434.0
26,Japan,RJ582,0,347.0
27,Japan,RJ582,1,346.0
28,Japan,RJ582,1,323.0
29,Japan,RJ582,1,319.0
30,Japan,RJ582,0,315.0
31,Japan,RJ582,0,346.0
32,Japan,RJ582,1,326.0
33,Japan,RJ582,1,341.0
34,Japan,RJ582,1,381.0
35,Japan,RJ582,1,281.0
36,Japan,RJ582,1,395.0
37,Japan,RJ582,1,387.0
38,Japan,RJ582,1,362.0
39,Japan,RJ582,1,383.0
40,Japan,RJ582,1,370.0
41,Japan,RJ582,0,406.0
42,Japan,RJ582,1,317.0
43,Japan,RJ582,0,355.0
44,Japan,RJ582,1,405.0
45,Japan,RJ582,1,410.0
46,Japan,RJ582,1,404.0
47,Japan,RJ582,1,360.0
48,Japan,RJ582,1,390.0
49,Japan,RJ582,1,339.0
50,Japan,RJ582,1,386.0
51,Japan,RJ582,1,301.0
52,Japan,RJ582,1,404.0
53,Japan,RJ582,1,340.0
54,Japan,RJ582,1,333.0
55,Japan,RJ582,1,363.0
56,Japan,RJ582,1,348.0
57,Japan,RJ582,1,302.0
58,Japan,RJ582,1,321.0
59,Japan,RJ582,1,344.0
60,Japan,RJ582,0,431.0
61,Japan,RJ582,1,327.0
62,Japan,RJ582,0,433.0
