,Country,ID,ACC,RT
0,Japan,RK812,1,443.19
1,Japan,RK812,1,409.0
2,Japan,RK812,1,519.035
3,Japan,RK812,1,552.835
4,Japan,RK812,1,470.26
5,Japan,RK812,1,555.18
6,Japan,RK812,1,520.005
7,Japan,RK812,1,453.805
8,Japan,RK812,1,390.12
9,Japan,RK812,1,472.48
10,Japan,RK812,1,423.25
11,Japan,RK812,1,433.045
12,Japan,RK812,1,395.23
13,Japan,RK812,1,370.985
14,Japan,RK812,1,412.955
15,Japan,RK812,1,381.1
16,Japan,RK812,1,423.225
17,Japan,RK812,1,365.385
18,Japan,RK812,1,338.55
19,Japan,RK812,1,360.41
20,Japan,RK812,1,458.755
21,Japan,RK812,1,420.81
22,Japan,RK812,1,426.145
23,Japan,RK812,1,469.455
24,Japan,RK812,1,369.67
25,Japan,RK812,1,381.5200001
26,Japan,RK812,1,398.19
27,Japan,RK812,1,434.85
28,Japan,RK812,1,386.415
29,Japan,RK812,1,356.585
30,Japan,RK812,1,358.03
31,Japan,RK812,1,372.435
32,Japan,RK812,1,382.855
33,Japan,RK812,1,424.045
34,Japan,RK812,1,399.71
35,Japan,RK812,1,432.195
36,Japan,RK812,1,336.73
37,Japan,RK812,1,331.935
38,Japan,RK812,1,423.69
39,Japan,RK812,1,420.825
40,Japan,RK812,1,475.67
41,Japan,RK812,1,488.2500001
42,Japan,RK812,1,376.68
43,Japan,RK812,1,392.42
44,Japan,RK812,1,379.8699999
45,Japan,RK812,1,416.515
46,Japan,RK812,1,454.48
47,Japan,RK812,1,469.78
48,Japan,RK812,1,435.525
49,Japan,RK812,1,417.005
50,Japan,RK812,1,405.245
51,Japan,RK812,1,421.695
52,Japan,RK812,1,424.605
53,Japan,RK812,1,413.605
54,Japan,RK812,1,400.545
55,Japan,RK812,1,338.08
56,Japan,RK812,1,345.33
57,Japan,RK812,1,441.37
58,Japan,RK812,1,337.015
59,Japan,RK812,1,353.85
60,Japan,RK812,1,395.335
61,Japan,RK812,1,404.02
62,Japan,RK812,1,357.41
63,Japan,RK812,1,365.335
64,Japan,RK812,1,359.88
65,Japan,RK812,1,359.79
66,Japan,RK812,1,375.31
67,Japan,RK812,1,380.26
68,Japan,RK812,1,373.105
69,Japan,RK812,1,386.17
70,Japan,RK812,1,374.56
71,Japan,RK812,1,357.6
72,Japan,RK812,1,423.785
73,Japan,RK812,1,380.345
74,Japan,RK812,1,344.845
75,Japan,RK812,1,423.92
76,Japan,RK812,1,404.315
77,Japan,RK812,1,383.76
