,Country,ID,ACC,RT
0,Japan,SK670,1,459.14
1,Japan,SK670,1,407.33
2,Japan,SK670,1,402.365
3,Japan,SK670,1,386.275
4,Japan,SK670,1,400.465
5,Japan,SK670,1,403.005
6,Japan,SK670,1,394.675
7,Japan,SK670,1,359.34
8,Japan,SK670,1,407.86
9,Japan,SK670,1,355.96
10,Japan,SK670,1,328.235
11,Japan,SK670,1,438.32
12,Japan,SK670,1,417.145
13,Japan,SK670,1,452.245
14,Japan,SK670,1,453.735
15,Japan,SK670,1,413.915
16,Japan,SK670,1,419.13
17,Japan,SK670,1,378.715
18,Japan,SK670,1,403.74
19,Japan,SK670,1,367.685
20,Japan,SK670,1,459.92
21,Japan,SK670,1,373.055
22,Japan,SK670,1,402.35
23,Japan,SK670,1,444.085
24,Japan,SK670,1,384.265
25,Japan,SK670,1,396.855
26,Japan,SK670,0,383.73
27,Japan,SK670,1,339.405
28,Japan,SK670,1,391.365
29,Japan,SK670,1,370.64
30,Japan,SK670,1,382.65
31,Japan,SK670,1,407.275
32,Japan,SK670,1,399.535
33,Japan,SK670,1,418.525
34,Japan,SK670,1,372.61
35,Japan,SK670,1,368.34
36,Japan,SK670,1,392.59
37,Japan,SK670,1,434.96
38,Japan,SK670,1,365.285
39,Japan,SK670,1,372.8
40,Japan,SK670,1,337.895
41,Japan,SK670,1,332.635
42,Japan,SK670,1,370.3
43,Japan,SK670,1,343.91
44,Japan,SK670,1,372.005
45,Japan,SK670,1,340.135
46,Japan,SK670,1,341.375
47,Japan,SK670,1,301.765
48,Japan,SK670,1,346.885
49,Japan,SK670,1,382.765
50,Japan,SK670,1,409.725
51,Japan,SK670,1,435.675
52,Japan,SK670,1,380.985
53,Japan,SK670,1,335.545
54,Japan,SK670,1,332.685
55,Japan,SK670,1,422.225
56,Japan,SK670,1,389.475
57,Japan,SK670,1,415.61
58,Japan,SK670,1,345.45
59,Japan,SK670,1,378.87
60,Japan,SK670,1,363.07
61,Japan,SK670,1,383.2
62,Japan,SK670,1,372.68
63,Japan,SK670,1,324.22
64,Japan,SK670,1,335.635
65,Japan,SK670,1,366.925
66,Japan,SK670,1,356.985
67,Japan,SK670,1,345.78
68,Japan,SK670,1,375.575
69,Japan,SK670,1,402.835
70,Japan,SK670,1,358.255
71,Japan,SK670,1,364.23
72,Japan,SK670,1,332.715
73,Japan,SK670,1,459.17
74,Japan,SK670,1,459.655
