,Country,ID,ACC,RT
0,Japan,SN729,1,472.0
1,Japan,SN729,1,534.0
2,Japan,SN729,1,526.0
3,Japan,SN729,1,511.0
4,Japan,SN729,1,494.0
5,Japan,SN729,1,468.0
6,Japan,SN729,1,446.0
7,Japan,SN729,1,462.0
8,Japan,SN729,1,446.0
9,Japan,SN729,1,476.0
10,Japan,SN729,1,426.0
11,Japan,SN729,1,460.0
12,Japan,SN729,1,383.0
13,Japan,SN729,1,411.0
14,Japan,SN729,1,683.0
15,Japan,SN729,1,473.0
16,Japan,SN729,1,430.0
17,Japan,SN729,1,450.0
18,Japan,SN729,1,425.0
19,Japan,SN729,1,472.0
20,Japan,SN729,1,445.0
21,Japan,SN729,1,416.0
22,Japan,SN729,1,448.0
23,Japan,SN729,1,473.0
24,Japan,SN729,1,456.0
25,Japan,SN729,1,424.0
26,Japan,SN729,1,447.0
27,Japan,SN729,1,456.0
28,Japan,SN729,1,464.0
29,Japan,SN729,1,441.0
30,Japan,SN729,1,432.0
31,Japan,SN729,1,448.0
32,Japan,SN729,1,471.0
33,Japan,SN729,1,439.0
34,Japan,SN729,1,459.0
35,Japan,SN729,1,421.0
36,Japan,SN729,1,478.0
37,Japan,SN729,1,433.0
38,Japan,SN729,1,497.0
39,Japan,SN729,1,386.0
40,Japan,SN729,1,456.0
41,Japan,SN729,1,446.0
42,Japan,SN729,1,438.0
43,Japan,SN729,1,366.0
44,Japan,SN729,1,389.0
45,Japan,SN729,1,427.0
46,Japan,SN729,1,408.0
47,Japan,SN729,1,381.0
48,Japan,SN729,1,458.0
49,Japan,SN729,1,452.0
50,Japan,SN729,1,410.0
51,Japan,SN729,1,399.0
52,Japan,SN729,1,374.0
53,Japan,SN729,1,381.0
54,Japan,SN729,1,389.0
55,Japan,SN729,1,406.0
56,Japan,SN729,1,396.0
57,Japan,SN729,1,380.0
58,Japan,SN729,1,383.0
59,Japan,SN729,1,398.0
60,Japan,SN729,1,392.0
61,Japan,SN729,1,428.0
62,Japan,SN729,1,378.0
63,Japan,SN729,1,374.0
64,Japan,SN729,1,381.0
65,Japan,SN729,1,395.0
66,Japan,SN729,1,427.0
67,Japan,SN729,1,434.0
68,Japan,SN729,1,451.0
69,Japan,SN729,1,415.0
70,Japan,SN729,1,407.0
71,Japan,SN729,1,382.0
72,Japan,SN729,1,414.0
73,Japan,SN729,1,402.0
74,Japan,SN729,1,417.0
75,Japan,SN729,1,424.0
76,Japan,SN729,1,458.0
77,Japan,SN729,1,394.0
