,Country,ID,ACC,RT
0,Japan,TK257,1,378.435
1,Japan,TK257,1,379.54
2,Japan,TK257,1,425.06
3,Japan,TK257,1,565.385
4,Japan,TK257,1,420.455
5,Japan,TK257,1,431.7
6,Japan,TK257,1,417.225
7,Japan,TK257,1,361.465
8,Japan,TK257,1,453.605
9,Japan,TK257,1,440.96
10,Japan,TK257,1,367.155
11,Japan,TK257,1,574.375
12,Japan,TK257,1,427.555
13,Japan,TK257,1,468.535
14,Japan,TK257,1,424.265
15,Japan,TK257,1,496.955
16,Japan,TK257,1,440.13
17,Japan,TK257,1,385.49
18,Japan,TK257,1,398.725
19,Japan,TK257,1,440.725
20,Japan,TK257,1,344.81
21,Japan,TK257,1,393.04
22,Japan,TK257,1,413.37
23,Japan,TK257,1,420.335
24,Japan,TK257,1,538.38
25,Japan,TK257,1,395.055
26,Japan,TK257,1,397.625
27,Japan,TK257,1,416.695
28,Japan,TK257,1,405.64
29,Japan,TK257,1,391.11
30,Japan,TK257,1,454.135
31,Japan,TK257,1,425.85
32,Japan,TK257,1,567.545
33,Japan,TK257,1,401.905
34,Japan,TK257,1,358.275
35,Japan,TK257,1,461.93
36,Japan,TK257,1,408.635
37,Japan,TK257,1,473.96
38,Japan,TK257,1,400.57
39,Japan,TK257,1,417.39
40,Japan,TK257,1,343.83
41,Japan,TK257,1,335.21
42,Japan,TK257,1,341.755
43,Japan,TK257,1,367.16
44,Japan,TK257,1,395.195
45,Japan,TK257,1,350.355
46,Japan,TK257,1,333.185
47,Japan,TK257,1,417.13
48,Japan,TK257,1,339.89
49,Japan,TK257,1,370.43
50,Japan,TK257,1,319.835
51,Japan,TK257,1,390.72
52,Japan,TK257,1,397.045
53,Japan,TK257,1,347.12
54,Japan,TK257,1,439.23
55,Japan,TK257,1,367.365
56,Japan,TK257,1,353.2
57,Japan,TK257,1,411.385
58,Japan,TK257,1,392.015
59,Japan,TK257,1,356.22
60,Japan,TK257,1,332.83
61,Japan,TK257,1,379.41
62,Japan,TK257,1,367.275
63,Japan,TK257,1,372.535
64,Japan,TK257,1,403.31
65,Japan,TK257,1,382.155
66,Japan,TK257,1,374.61
67,Japan,TK257,1,394.955
68,Japan,TK257,1,405.035
69,Japan,TK257,1,413.34
70,Japan,TK257,1,440.675
71,Japan,TK257,1,442.92
72,Japan,TK257,1,382.635
73,Japan,TK257,1,381.31
74,Japan,TK257,1,382.135
