,Country,ID,ACC,RT
0,Japan,TO321,1,507.01
1,Japan,TO321,1,436.295
2,Japan,TO321,1,453.355
3,Japan,TO321,1,463.07
4,Japan,TO321,1,434.72
5,Japan,TO321,1,469.705
6,Japan,TO321,1,447.46
7,Japan,TO321,1,381.49
8,Japan,TO321,1,397.285
9,Japan,TO321,1,471.725
10,Japan,TO321,1,349.41
11,Japan,TO321,1,393.665
12,Japan,TO321,1,373.655
13,Japan,TO321,1,468.575
14,Japan,TO321,1,466.775
15,Japan,TO321,1,441.32
16,Japan,TO321,1,445.625
17,Japan,TO321,1,459.445
18,Japan,TO321,1,427.465
19,Japan,TO321,1,448.295
20,Japan,TO321,1,436.73
21,Japan,TO321,1,437.535
22,Japan,TO321,1,390.695
23,Japan,TO321,1,365.905
24,Japan,TO321,1,368.09
25,Japan,TO321,1,391.57
26,Japan,TO321,1,388.595
27,Japan,TO321,1,345.975
28,Japan,TO321,1,464.225
29,Japan,TO321,1,354.06
30,Japan,TO321,1,337.82
31,Japan,TO321,1,398.2000001
32,Japan,TO321,1,389.655
33,Japan,TO321,1,466.305
34,Japan,TO321,1,358.63
35,Japan,TO321,1,389.83
36,Japan,TO321,1,439.205
37,Japan,TO321,1,356.46
38,Japan,TO321,1,428.82
39,Japan,TO321,1,457.625
40,Japan,TO321,1,444.79
41,Japan,TO321,1,417.96
42,Japan,TO321,1,385.655
43,Japan,TO321,1,402.72
44,Japan,TO321,1,483.08
45,Japan,TO321,1,441.645
46,Japan,TO321,1,467.125
47,Japan,TO321,1,367.19
48,Japan,TO321,1,453.91
49,Japan,TO321,1,410.735
50,Japan,TO321,1,394.31
51,Japan,TO321,1,394.905
52,Japan,TO321,1,457.655
53,Japan,TO321,1,487.54
54,Japan,TO321,1,400.27
55,Japan,TO321,1,384.635
56,Japan,TO321,1,479.0549999
57,Japan,TO321,1,437.9
58,Japan,TO321,1,397.3
59,Japan,TO321,1,430.22
60,Japan,TO321,1,468.65
61,Japan,TO321,1,452.01
62,Japan,TO321,1,450.345
63,Japan,TO321,1,401.885
64,Japan,TO321,1,397.97
65,Japan,TO321,1,356.585
66,Japan,TO321,1,366.625
67,Japan,TO321,1,421.3
68,Japan,TO321,1,318.345
69,Japan,TO321,1,329.31
70,Japan,TO321,1,380.28
71,Japan,TO321,1,374.925
72,Japan,TO321,1,403.41
73,Japan,TO321,1,318.89
74,Japan,TO321,1,428.03
75,Japan,TO321,1,370.34
76,Japan,TO321,1,396.03
77,Japan,TO321,1,372.255
