,Country,ID,ACC,RT
0,Japan,TS102,1,527.0
1,Japan,TS102,1,496.0
2,Japan,TS102,1,431.0
3,Japan,TS102,1,464.0
4,Japan,TS102,1,500.0
5,Japan,TS102,1,452.0
6,Japan,TS102,1,464.0
7,Japan,TS102,1,382.0
8,Japan,TS102,1,452.0
9,Japan,TS102,1,395.0
10,Japan,TS102,1,411.0
11,Japan,TS102,1,441.0
12,Japan,TS102,1,436.0
13,Japan,TS102,1,450.0
14,Japan,TS102,1,416.0
15,Japan,TS102,1,415.0
16,Japan,TS102,1,370.0
17,Japan,TS102,1,504.0
18,Japan,TS102,1,465.0
19,Japan,TS102,1,455.0
20,Japan,TS102,1,465.0
21,Japan,TS102,1,389.0
22,Japan,TS102,1,431.0
23,Japan,TS102,1,435.0
24,Japan,TS102,1,405.0
25,Japan,TS102,1,359.0
26,Japan,TS102,1,422.0
27,Japan,TS102,1,439.0
28,Japan,TS102,1,355.0
29,Japan,TS102,1,402.0
30,Japan,TS102,1,414.0
31,Japan,TS102,1,372.0
32,Japan,TS102,1,417.0
33,Japan,TS102,1,403.0
34,Japan,TS102,1,408.0
35,Japan,TS102,1,464.0
36,Japan,TS102,1,458.0
37,Japan,TS102,1,393.0
38,Japan,TS102,1,451.0
39,Japan,TS102,1,415.0
40,Japan,TS102,1,458.0
41,Japan,TS102,1,402.0
42,Japan,TS102,1,390.0
43,Japan,TS102,1,412.0
44,Japan,TS102,1,449.0
45,Japan,TS102,1,469.0
46,Japan,TS102,1,456.0
47,Japan,TS102,1,411.0
48,Japan,TS102,1,442.0
49,Japan,TS102,1,478.0
50,Japan,TS102,1,430.0
51,Japan,TS102,1,385.0
52,Japan,TS102,1,429.0
53,Japan,TS102,1,411.0
54,Japan,TS102,1,492.0
55,Japan,TS102,1,412.0
56,Japan,TS102,1,401.0
57,Japan,TS102,1,470.0
58,Japan,TS102,1,433.0
59,Japan,TS102,1,400.0
60,Japan,TS102,1,364.0
61,Japan,TS102,1,450.0
62,Japan,TS102,1,433.0
63,Japan,TS102,1,412.0
64,Japan,TS102,1,458.0
65,Japan,TS102,1,459.0
66,Japan,TS102,1,419.0
67,Japan,TS102,1,396.0
68,Japan,TS102,1,422.0
69,Japan,TS102,1,428.0
70,Japan,TS102,1,424.0
71,Japan,TS102,1,399.0
72,Japan,TS102,1,422.0
73,Japan,TS102,1,403.0
74,Japan,TS102,1,456.0
