,Country,ID,ACC,RT
0,Japan,WHHN26,1,464.4
1,Japan,WHHN26,1,476.05
2,Japan,WHHN26,0,436.2
3,Japan,WHHN26,1,372.135
4,Japan,WHHN26,1,445.535
5,Japan,WHHN26,0,410.07
6,Japan,WHHN26,1,394.245
7,Japan,WHHN26,1,391.15
8,Japan,WHHN26,1,401.84
9,Japan,WHHN26,1,433.65
10,Japan,WHHN26,1,420.025
11,Japan,WHHN26,1,465.325
12,Japan,WHHN26,1,415.34
13,Japan,WHHN26,1,424.74
14,Japan,WHHN26,1,405.97
15,Japan,WHHN26,1,356.695
16,Japan,WHHN26,1,409.285
17,Japan,WHHN26,1,412.64
18,Japan,WHHN26,0,444.25
19,Japan,WHHN26,1,396.435
20,Japan,WHHN26,1,570.265
21,Japan,WHHN26,1,345.705
22,Japan,WHHN26,1,395.175
23,Japan,WHHN26,1,376.635
24,Japan,WHHN26,1,373.55
25,Japan,WHHN26,0,433.395
26,Japan,WHHN26,1,434.055
27,Japan,WHHN26,1,430.06
28,Japan,WHHN26,1,448.435
29,Japan,WHHN26,1,377.62
30,Japan,WHHN26,1,384.665
31,Japan,WHHN26,1,423.9
32,Japan,WHHN26,1,439.55
33,Japan,WHHN26,1,361.6
34,Japan,WHHN26,1,393.99
35,Japan,WHHN26,1,408.79
36,Japan,WHHN26,1,353.145
37,Japan,WHHN26,1,329.935
38,Japan,WHHN26,1,388.3
39,Japan,WHHN26,1,351.99
40,Japan,WHHN26,1,358.15
41,Japan,WHHN26,1,346.35
42,Japan,WHHN26,1,364.055
43,Japan,WHHN26,1,451.435
44,Japan,WHHN26,1,385.96
45,Japan,WHHN26,1,421.665
46,Japan,WHHN26,1,408.305
47,Japan,WHHN26,1,443.44
48,Japan,WHHN26,1,384.655
49,Japan,WHHN26,1,402.635
50,Japan,WHHN26,1,371.165
51,Japan,WHHN26,1,447.755
52,Japan,WHHN26,1,377.68
53,Japan,WHHN26,1,408.245
54,Japan,WHHN26,1,458.535
55,Japan,WHHN26,0,428.55
56,Japan,WHHN26,1,394.11
57,Japan,WHHN26,1,385.585
58,Japan,WHHN26,1,346.47
59,Japan,WHHN26,1,375.99
60,Japan,WHHN26,1,335.17
61,Japan,WHHN26,1,349.87
62,Japan,WHHN26,1,400.82
63,Japan,WHHN26,1,307.91
64,Japan,WHHN26,1,353.335
65,Japan,WHHN26,1,397.095
66,Japan,WHHN26,1,430.255
67,Japan,WHHN26,1,351.82
68,Japan,WHHN26,1,389.705
