,Country,ID,ACC,RT
0,Japan,YA146,1,416.0
1,Japan,YA146,1,443.0
2,Japan,YA146,1,389.0
3,Japan,YA146,1,398.0
4,Japan,YA146,1,425.0
5,Japan,YA146,1,430.0
6,Japan,YA146,1,356.0
7,Japan,YA146,1,380.0
8,Japan,YA146,1,465.0
9,Japan,YA146,1,403.0
10,Japan,YA146,1,408.0
11,Japan,YA146,1,396.0
12,Japan,YA146,1,446.0
13,Japan,YA146,1,438.0
14,Japan,YA146,1,377.0
15,Japan,YA146,1,460.0
16,Japan,YA146,1,393.0
17,Japan,YA146,1,395.0
18,Japan,YA146,0,382.0
19,Japan,YA146,1,471.0
20,Japan,YA146,1,461.0
21,Japan,YA146,1,410.0
22,Japan,YA146,1,511.0
23,Japan,YA146,1,399.0
24,Japan,YA146,1,500.0
25,Japan,YA146,1,415.0
26,Japan,YA146,1,419.0
27,Japan,YA146,1,453.0
28,Japan,YA146,1,494.0
29,Japan,YA146,1,425.0
30,Japan,YA146,1,440.0
31,Japan,YA146,1,420.0
32,Japan,YA146,1,410.0
33,Japan,YA146,1,450.0
34,Japan,YA146,1,408.0
35,Japan,YA146,1,467.0
36,Japan,YA146,1,363.0
37,Japan,YA146,1,403.0
38,Japan,YA146,1,392.0
39,Japan,YA146,1,370.0
40,Japan,YA146,1,346.0
41,Japan,YA146,1,365.0
42,Japan,YA146,1,376.0
43,Japan,YA146,1,363.0
44,Japan,YA146,1,419.0
45,Japan,YA146,1,375.0
46,Japan,YA146,1,373.0
47,Japan,YA146,1,360.0
48,Japan,YA146,1,368.0
49,Japan,YA146,1,389.0
50,Japan,YA146,0,407.0
51,Japan,YA146,1,423.0
52,Japan,YA146,1,450.0
53,Japan,YA146,1,374.0
54,Japan,YA146,1,411.0
55,Japan,YA146,1,446.0
56,Japan,YA146,1,351.0
57,Japan,YA146,1,405.0
58,Japan,YA146,1,381.0
59,Japan,YA146,1,398.0
60,Japan,YA146,1,409.0
61,Japan,YA146,1,438.0
62,Japan,YA146,1,426.0
63,Japan,YA146,1,445.0
64,Japan,YA146,1,465.0
65,Japan,YA146,1,463.0
66,Japan,YA146,1,474.0
67,Japan,YA146,1,393.0
68,Japan,YA146,1,424.0
69,Japan,YA146,1,409.0
70,Japan,YA146,1,451.0
71,Japan,YA146,1,408.0
72,Japan,YA146,1,413.0
73,Japan,YA146,1,445.0
