,Country,ID,ACC,RT
0,Japan,YO870,1,517.41
1,Japan,YO870,1,581.885
2,Japan,YO870,1,405.13
3,Japan,YO870,1,453.435
4,Japan,YO870,1,449.08
5,Japan,YO870,1,518.735
6,Japan,YO870,1,411.335
7,Japan,YO870,1,449.37
8,Japan,YO870,1,421.03
9,Japan,YO870,1,556.05
10,Japan,YO870,1,464.22
11,Japan,YO870,1,399.8
12,Japan,YO870,1,436.595
13,Japan,YO870,1,459.805
14,Japan,YO870,1,437.735
15,Japan,YO870,1,434.075
16,Japan,YO870,1,484.54
17,Japan,YO870,1,479.305
18,Japan,YO870,1,457.21
19,Japan,YO870,1,459.955
20,Japan,YO870,1,470.86
21,Japan,YO870,1,501.92
22,Japan,YO870,1,469.845
23,Japan,YO870,1,430.22
24,Japan,YO870,1,517.25
25,Japan,YO870,1,444.875
26,Japan,YO870,1,464.91
27,Japan,YO870,1,437.38
28,Japan,YO870,1,418.635
29,Japan,YO870,1,384.105
30,Japan,YO870,1,441.39
31,Japan,YO870,1,559.525
32,Japan,YO870,1,587.935
33,Japan,YO870,1,532.515
34,Japan,YO870,1,500.445
35,Japan,YO870,1,498.645
36,Japan,YO870,1,450.68
37,Japan,YO870,1,492.07
38,Japan,YO870,1,861.735
39,Japan,YO870,1,455.56
40,Japan,YO870,1,436.535
41,Japan,YO870,1,403.5
42,Japan,YO870,1,424.44
43,Japan,YO870,1,446.42
44,Japan,YO870,1,515.66
45,Japan,YO870,1,576.39
46,Japan,YO870,1,578.775
47,Japan,YO870,1,536.265
48,Japan,YO870,1,505.88
49,Japan,YO870,1,407.475
50,Japan,YO870,1,488.54
51,Japan,YO870,1,469.36
52,Japan,YO870,1,539.72
53,Japan,YO870,1,409.13
54,Japan,YO870,1,469.98
55,Japan,YO870,1,456.065
56,Japan,YO870,1,511.51
57,Japan,YO870,1,518.895
58,Japan,YO870,1,438.905
59,Japan,YO870,1,548.285
60,Japan,YO870,1,415.475
61,Japan,YO870,1,449.695
62,Japan,YO870,1,392.125
63,Japan,YO870,1,447.16
64,Japan,YO870,1,455.805
65,Japan,YO870,1,376.895
66,Japan,YO870,1,404.2
67,Japan,YO870,1,400.545
68,Japan,YO870,1,497.945
69,Japan,YO870,1,458.305
70,Japan,YO870,1,397.17
71,Japan,YO870,1,425.975
72,Japan,YO870,1,465.1
73,Japan,YO870,1,450.14
74,Japan,YO870,1,474.835
75,Japan,YO870,1,454.04
76,Japan,YO870,1,394.0
