,Country,ID,ACC,RT
0,Scotland,59ce7068a5bbdd0001bf46dc,1,516.675
1,Scotland,59ce7068a5bbdd0001bf46dc,1,659.915
2,Scotland,59ce7068a5bbdd0001bf46dc,1,679.95
3,Scotland,59ce7068a5bbdd0001bf46dc,1,782.195
4,Scotland,59ce7068a5bbdd0001bf46dc,1,751.295
5,Scotland,59ce7068a5bbdd0001bf46dc,1,775.985
6,Scotland,59ce7068a5bbdd0001bf46dc,1,806.345
7,Scotland,59ce7068a5bbdd0001bf46dc,1,780.755
8,Scotland,59ce7068a5bbdd0001bf46dc,1,639.44
9,Scotland,59ce7068a5bbdd0001bf46dc,1,858.95
10,Scotland,59ce7068a5bbdd0001bf46dc,1,772.28
11,Scotland,59ce7068a5bbdd0001bf46dc,1,744.43
12,Scotland,59ce7068a5bbdd0001bf46dc,1,686.825
13,Scotland,59ce7068a5bbdd0001bf46dc,1,929.63
14,Scotland,59ce7068a5bbdd0001bf46dc,1,893.12
15,Scotland,59ce7068a5bbdd0001bf46dc,1,691.96
16,Scotland,59ce7068a5bbdd0001bf46dc,1,714.235
17,Scotland,59ce7068a5bbdd0001bf46dc,1,638.485
18,Scotland,59ce7068a5bbdd0001bf46dc,1,715.52
19,Scotland,59ce7068a5bbdd0001bf46dc,1,793.185
20,Scotland,59ce7068a5bbdd0001bf46dc,1,730.63
21,Scotland,59ce7068a5bbdd0001bf46dc,1,726.015
22,Scotland,59ce7068a5bbdd0001bf46dc,1,1072.98
23,Scotland,59ce7068a5bbdd0001bf46dc,1,638.045
24,Scotland,59ce7068a5bbdd0001bf46dc,1,647.24
25,Scotland,59ce7068a5bbdd0001bf46dc,1,739.28
26,Scotland,59ce7068a5bbdd0001bf46dc,1,791.215
27,Scotland,59ce7068a5bbdd0001bf46dc,1,655.14
28,Scotland,59ce7068a5bbdd0001bf46dc,1,651.445
29,Scotland,59ce7068a5bbdd0001bf46dc,1,640.43
30,Scotland,59ce7068a5bbdd0001bf46dc,1,614.015
31,Scotland,59ce7068a5bbdd0001bf46dc,1,600.805
32,Scotland,59ce7068a5bbdd0001bf46dc,1,696.745
33,Scotland,59ce7068a5bbdd0001bf46dc,1,688.91
34,Scotland,59ce7068a5bbdd0001bf46dc,1,1124.485
35,Scotland,59ce7068a5bbdd0001bf46dc,1,721.1
36,Scotland,59ce7068a5bbdd0001bf46dc,1,829.3
37,Scotland,59ce7068a5bbdd0001bf46dc,1,716.085
38,Scotland,59ce7068a5bbdd0001bf46dc,1,635.86
39,Scotland,59ce7068a5bbdd0001bf46dc,1,492.665
40,Scotland,59ce7068a5bbdd0001bf46dc,1,503.25
41,Scotland,59ce7068a5bbdd0001bf46dc,1,660.485
42,Scotland,59ce7068a5bbdd0001bf46dc,1,500.205
43,Scotland,59ce7068a5bbdd0001bf46dc,1,695.88
44,Scotland,59ce7068a5bbdd0001bf46dc,1,506.05
45,Scotland,59ce7068a5bbdd0001bf46dc,1,635.47
46,Scotland,59ce7068a5bbdd0001bf46dc,1,634.95
47,Scotland,59ce7068a5bbdd0001bf46dc,1,868.515
48,Scotland,59ce7068a5bbdd0001bf46dc,1,546.02
49,Scotland,59ce7068a5bbdd0001bf46dc,1,624.905
50,Scotland,59ce7068a5bbdd0001bf46dc,1,669.25
51,Scotland,59ce7068a5bbdd0001bf46dc,1,718.55
52,Scotland,59ce7068a5bbdd0001bf46dc,1,782.655
53,Scotland,59ce7068a5bbdd0001bf46dc,1,591.885
54,Scotland,59ce7068a5bbdd0001bf46dc,1,625.125
55,Scotland,59ce7068a5bbdd0001bf46dc,1,714.815
56,Scotland,59ce7068a5bbdd0001bf46dc,1,577.69
57,Scotland,59ce7068a5bbdd0001bf46dc,1,619.875
58,Scotland,59ce7068a5bbdd0001bf46dc,1,603.805
59,Scotland,59ce7068a5bbdd0001bf46dc,1,600.41
60,Scotland,59ce7068a5bbdd0001bf46dc,1,669.445
61,Scotland,59ce7068a5bbdd0001bf46dc,1,678.465
62,Scotland,59ce7068a5bbdd0001bf46dc,1,688.99
63,Scotland,59ce7068a5bbdd0001bf46dc,1,652.71
64,Scotland,59ce7068a5bbdd0001bf46dc,1,600.425
65,Scotland,59ce7068a5bbdd0001bf46dc,1,634.735
66,Scotland,59ce7068a5bbdd0001bf46dc,1,663.01
67,Scotland,59ce7068a5bbdd0001bf46dc,1,649.75
68,Scotland,59ce7068a5bbdd0001bf46dc,0,538.135
69,Scotland,59ce7068a5bbdd0001bf46dc,1,584.825
70,Scotland,59ce7068a5bbdd0001bf46dc,1,537.0
71,Scotland,59ce7068a5bbdd0001bf46dc,1,581.01
72,Scotland,59ce7068a5bbdd0001bf46dc,1,647.35
73,Scotland,59ce7068a5bbdd0001bf46dc,1,753.17
74,Scotland,59ce7068a5bbdd0001bf46dc,1,741.865
75,Scotland,59ce7068a5bbdd0001bf46dc,1,717.01
