,Country,ID,ACC,RT
0,Scotland,5b99663d4cefb60001e7a214,1,558.53
1,Scotland,5b99663d4cefb60001e7a214,1,682.23
2,Scotland,5b99663d4cefb60001e7a214,1,430.79
3,Scotland,5b99663d4cefb60001e7a214,1,514.88
4,Scotland,5b99663d4cefb60001e7a214,1,594.84
5,Scotland,5b99663d4cefb60001e7a214,1,652.875
6,Scotland,5b99663d4cefb60001e7a214,1,590.285
7,Scotland,5b99663d4cefb60001e7a214,1,414.64
8,Scotland,5b99663d4cefb60001e7a214,1,529.655
9,Scotland,5b99663d4cefb60001e7a214,1,500.03
10,Scotland,5b99663d4cefb60001e7a214,1,466.38
11,Scotland,5b99663d4cefb60001e7a214,1,415.93
12,Scotland,5b99663d4cefb60001e7a214,1,645.77
13,Scotland,5b99663d4cefb60001e7a214,1,537.665
14,Scotland,5b99663d4cefb60001e7a214,1,431.175
15,Scotland,5b99663d4cefb60001e7a214,0,728.62
16,Scotland,5b99663d4cefb60001e7a214,1,481.11
17,Scotland,5b99663d4cefb60001e7a214,1,390.915
18,Scotland,5b99663d4cefb60001e7a214,1,628.305
19,Scotland,5b99663d4cefb60001e7a214,1,414.345
20,Scotland,5b99663d4cefb60001e7a214,1,469.71
21,Scotland,5b99663d4cefb60001e7a214,1,528.01
22,Scotland,5b99663d4cefb60001e7a214,1,557.615
23,Scotland,5b99663d4cefb60001e7a214,1,448.145
24,Scotland,5b99663d4cefb60001e7a214,1,447.17
25,Scotland,5b99663d4cefb60001e7a214,1,529.71
26,Scotland,5b99663d4cefb60001e7a214,1,456.62
27,Scotland,5b99663d4cefb60001e7a214,1,485.95
28,Scotland,5b99663d4cefb60001e7a214,1,486.15
29,Scotland,5b99663d4cefb60001e7a214,1,493.36
30,Scotland,5b99663d4cefb60001e7a214,1,466.98
31,Scotland,5b99663d4cefb60001e7a214,1,572.34
32,Scotland,5b99663d4cefb60001e7a214,1,563.68
33,Scotland,5b99663d4cefb60001e7a214,1,555.975
34,Scotland,5b99663d4cefb60001e7a214,1,666.825
35,Scotland,5b99663d4cefb60001e7a214,1,603.39
36,Scotland,5b99663d4cefb60001e7a214,1,426.58
37,Scotland,5b99663d4cefb60001e7a214,1,409.365
38,Scotland,5b99663d4cefb60001e7a214,1,398.715
39,Scotland,5b99663d4cefb60001e7a214,1,462.3
40,Scotland,5b99663d4cefb60001e7a214,1,417.235
41,Scotland,5b99663d4cefb60001e7a214,1,427.335
42,Scotland,5b99663d4cefb60001e7a214,1,455.45
43,Scotland,5b99663d4cefb60001e7a214,1,412.535
44,Scotland,5b99663d4cefb60001e7a214,1,410.89
45,Scotland,5b99663d4cefb60001e7a214,1,466.795
46,Scotland,5b99663d4cefb60001e7a214,1,436.255
47,Scotland,5b99663d4cefb60001e7a214,1,481.56
48,Scotland,5b99663d4cefb60001e7a214,1,487.41
49,Scotland,5b99663d4cefb60001e7a214,1,430.34
50,Scotland,5b99663d4cefb60001e7a214,1,423.83
51,Scotland,5b99663d4cefb60001e7a214,1,404.33
52,Scotland,5b99663d4cefb60001e7a214,1,456.985
53,Scotland,5b99663d4cefb60001e7a214,1,406.09
54,Scotland,5b99663d4cefb60001e7a214,1,533.45
55,Scotland,5b99663d4cefb60001e7a214,1,396.61
56,Scotland,5b99663d4cefb60001e7a214,1,396.595
57,Scotland,5b99663d4cefb60001e7a214,1,366.14
58,Scotland,5b99663d4cefb60001e7a214,1,395.34
59,Scotland,5b99663d4cefb60001e7a214,1,407.765
60,Scotland,5b99663d4cefb60001e7a214,1,435.105
61,Scotland,5b99663d4cefb60001e7a214,1,417.675
62,Scotland,5b99663d4cefb60001e7a214,1,409.755
63,Scotland,5b99663d4cefb60001e7a214,1,394.62
64,Scotland,5b99663d4cefb60001e7a214,1,451.19
65,Scotland,5b99663d4cefb60001e7a214,1,413.78
66,Scotland,5b99663d4cefb60001e7a214,1,461.32
67,Scotland,5b99663d4cefb60001e7a214,1,386.815
68,Scotland,5b99663d4cefb60001e7a214,0,445.975
69,Scotland,5b99663d4cefb60001e7a214,1,462.105
70,Scotland,5b99663d4cefb60001e7a214,1,414.31
71,Scotland,5b99663d4cefb60001e7a214,1,420.68
72,Scotland,5b99663d4cefb60001e7a214,1,446.135
73,Scotland,5b99663d4cefb60001e7a214,1,453.145
74,Scotland,5b99663d4cefb60001e7a214,1,450.215
75,Scotland,5b99663d4cefb60001e7a214,1,356.275
