,Country,ID,ACC,RT
0,Scotland,5bf44a04d7e7a70001d7a672,1,503.0
1,Scotland,5bf44a04d7e7a70001d7a672,1,484.0
2,Scotland,5bf44a04d7e7a70001d7a672,1,422.0
3,Scotland,5bf44a04d7e7a70001d7a672,1,520.0
4,Scotland,5bf44a04d7e7a70001d7a672,1,475.0
5,Scotland,5bf44a04d7e7a70001d7a672,1,485.0
6,Scotland,5bf44a04d7e7a70001d7a672,1,488.0
7,Scotland,5bf44a04d7e7a70001d7a672,1,410.0
8,Scotland,5bf44a04d7e7a70001d7a672,1,413.0
9,Scotland,5bf44a04d7e7a70001d7a672,1,502.0
10,Scotland,5bf44a04d7e7a70001d7a672,1,477.0
11,Scotland,5bf44a04d7e7a70001d7a672,1,508.0
12,Scotland,5bf44a04d7e7a70001d7a672,1,432.0
13,Scotland,5bf44a04d7e7a70001d7a672,1,444.0
14,Scotland,5bf44a04d7e7a70001d7a672,1,466.0
15,Scotland,5bf44a04d7e7a70001d7a672,1,554.0
16,Scotland,5bf44a04d7e7a70001d7a672,1,391.0
17,Scotland,5bf44a04d7e7a70001d7a672,1,487.0
18,Scotland,5bf44a04d7e7a70001d7a672,1,506.0
19,Scotland,5bf44a04d7e7a70001d7a672,1,458.0
20,Scotland,5bf44a04d7e7a70001d7a672,1,486.0
21,Scotland,5bf44a04d7e7a70001d7a672,1,564.0
22,Scotland,5bf44a04d7e7a70001d7a672,1,603.0
23,Scotland,5bf44a04d7e7a70001d7a672,1,591.0
24,Scotland,5bf44a04d7e7a70001d7a672,1,601.0
25,Scotland,5bf44a04d7e7a70001d7a672,1,555.0
26,Scotland,5bf44a04d7e7a70001d7a672,1,511.0
27,Scotland,5bf44a04d7e7a70001d7a672,1,592.0
28,Scotland,5bf44a04d7e7a70001d7a672,1,471.0
29,Scotland,5bf44a04d7e7a70001d7a672,1,406.0
30,Scotland,5bf44a04d7e7a70001d7a672,1,475.0
31,Scotland,5bf44a04d7e7a70001d7a672,1,434.0
32,Scotland,5bf44a04d7e7a70001d7a672,1,431.0
33,Scotland,5bf44a04d7e7a70001d7a672,1,414.0
34,Scotland,5bf44a04d7e7a70001d7a672,1,412.0
35,Scotland,5bf44a04d7e7a70001d7a672,1,447.0
36,Scotland,5bf44a04d7e7a70001d7a672,1,423.0
37,Scotland,5bf44a04d7e7a70001d7a672,1,464.0
38,Scotland,5bf44a04d7e7a70001d7a672,1,493.0
39,Scotland,5bf44a04d7e7a70001d7a672,1,405.0
40,Scotland,5bf44a04d7e7a70001d7a672,1,428.0
41,Scotland,5bf44a04d7e7a70001d7a672,1,420.0
42,Scotland,5bf44a04d7e7a70001d7a672,1,383.0
43,Scotland,5bf44a04d7e7a70001d7a672,1,502.0
44,Scotland,5bf44a04d7e7a70001d7a672,1,392.0
45,Scotland,5bf44a04d7e7a70001d7a672,1,455.0
46,Scotland,5bf44a04d7e7a70001d7a672,1,405.0
47,Scotland,5bf44a04d7e7a70001d7a672,1,448.0
48,Scotland,5bf44a04d7e7a70001d7a672,1,515.0
49,Scotland,5bf44a04d7e7a70001d7a672,1,397.0
50,Scotland,5bf44a04d7e7a70001d7a672,1,431.0
51,Scotland,5bf44a04d7e7a70001d7a672,1,431.0
52,Scotland,5bf44a04d7e7a70001d7a672,1,471.0
53,Scotland,5bf44a04d7e7a70001d7a672,1,460.0
54,Scotland,5bf44a04d7e7a70001d7a672,1,448.0
55,Scotland,5bf44a04d7e7a70001d7a672,1,414.0
56,Scotland,5bf44a04d7e7a70001d7a672,1,458.0
57,Scotland,5bf44a04d7e7a70001d7a672,1,419.0
58,Scotland,5bf44a04d7e7a70001d7a672,1,429.0
59,Scotland,5bf44a04d7e7a70001d7a672,1,512.0
60,Scotland,5bf44a04d7e7a70001d7a672,1,449.0
61,Scotland,5bf44a04d7e7a70001d7a672,1,449.0
62,Scotland,5bf44a04d7e7a70001d7a672,1,504.0
63,Scotland,5bf44a04d7e7a70001d7a672,1,484.0
64,Scotland,5bf44a04d7e7a70001d7a672,1,446.0
65,Scotland,5bf44a04d7e7a70001d7a672,1,566.0
66,Scotland,5bf44a04d7e7a70001d7a672,1,371.0
67,Scotland,5bf44a04d7e7a70001d7a672,1,450.0
68,Scotland,5bf44a04d7e7a70001d7a672,1,416.0
69,Scotland,5bf44a04d7e7a70001d7a672,1,457.0
70,Scotland,5bf44a04d7e7a70001d7a672,1,408.0
71,Scotland,5bf44a04d7e7a70001d7a672,1,412.0
72,Scotland,5bf44a04d7e7a70001d7a672,1,417.0
73,Scotland,5bf44a04d7e7a70001d7a672,1,473.0
74,Scotland,5bf44a04d7e7a70001d7a672,1,506.0
75,Scotland,5bf44a04d7e7a70001d7a672,1,377.0
