,Country,ID,ACC,RT
0,Scotland,5dd05d80b2204f1487f7812c,1,455.0
1,Scotland,5dd05d80b2204f1487f7812c,1,417.0
2,Scotland,5dd05d80b2204f1487f7812c,1,310.0
3,Scotland,5dd05d80b2204f1487f7812c,1,356.0
4,Scotland,5dd05d80b2204f1487f7812c,1,430.0
5,Scotland,5dd05d80b2204f1487f7812c,1,335.0
6,Scotland,5dd05d80b2204f1487f7812c,1,387.0
7,Scotland,5dd05d80b2204f1487f7812c,0,359.0
8,Scotland,5dd05d80b2204f1487f7812c,1,399.0
9,Scotland,5dd05d80b2204f1487f7812c,1,393.0
10,Scotland,5dd05d80b2204f1487f7812c,1,326.0
11,Scotland,5dd05d80b2204f1487f7812c,1,298.0
12,Scotland,5dd05d80b2204f1487f7812c,1,306.0
13,Scotland,5dd05d80b2204f1487f7812c,1,371.0
14,Scotland,5dd05d80b2204f1487f7812c,1,346.0
15,Scotland,5dd05d80b2204f1487f7812c,1,358.0
16,Scotland,5dd05d80b2204f1487f7812c,1,326.0
17,Scotland,5dd05d80b2204f1487f7812c,1,332.0
18,Scotland,5dd05d80b2204f1487f7812c,1,396.0
19,Scotland,5dd05d80b2204f1487f7812c,1,321.0
20,Scotland,5dd05d80b2204f1487f7812c,1,328.0
21,Scotland,5dd05d80b2204f1487f7812c,1,377.0
22,Scotland,5dd05d80b2204f1487f7812c,1,443.0
23,Scotland,5dd05d80b2204f1487f7812c,1,402.0
24,Scotland,5dd05d80b2204f1487f7812c,1,385.0
25,Scotland,5dd05d80b2204f1487f7812c,1,395.0
26,Scotland,5dd05d80b2204f1487f7812c,1,416.0
27,Scotland,5dd05d80b2204f1487f7812c,1,406.0
28,Scotland,5dd05d80b2204f1487f7812c,1,415.0
29,Scotland,5dd05d80b2204f1487f7812c,1,417.0
30,Scotland,5dd05d80b2204f1487f7812c,1,357.0
31,Scotland,5dd05d80b2204f1487f7812c,1,405.0
32,Scotland,5dd05d80b2204f1487f7812c,1,373.0
33,Scotland,5dd05d80b2204f1487f7812c,1,362.0
34,Scotland,5dd05d80b2204f1487f7812c,1,380.0
35,Scotland,5dd05d80b2204f1487f7812c,1,331.0
36,Scotland,5dd05d80b2204f1487f7812c,1,442.0
37,Scotland,5dd05d80b2204f1487f7812c,1,375.0
38,Scotland,5dd05d80b2204f1487f7812c,1,342.0
39,Scotland,5dd05d80b2204f1487f7812c,1,314.0
40,Scotland,5dd05d80b2204f1487f7812c,1,335.0
41,Scotland,5dd05d80b2204f1487f7812c,1,324.0
42,Scotland,5dd05d80b2204f1487f7812c,1,293.0
43,Scotland,5dd05d80b2204f1487f7812c,1,352.0
44,Scotland,5dd05d80b2204f1487f7812c,1,308.0
45,Scotland,5dd05d80b2204f1487f7812c,1,272.0
46,Scotland,5dd05d80b2204f1487f7812c,1,346.0
47,Scotland,5dd05d80b2204f1487f7812c,1,367.0
48,Scotland,5dd05d80b2204f1487f7812c,1,329.0
49,Scotland,5dd05d80b2204f1487f7812c,1,337.0
50,Scotland,5dd05d80b2204f1487f7812c,1,351.0
51,Scotland,5dd05d80b2204f1487f7812c,1,340.0
52,Scotland,5dd05d80b2204f1487f7812c,1,338.0
53,Scotland,5dd05d80b2204f1487f7812c,1,365.0
54,Scotland,5dd05d80b2204f1487f7812c,1,325.0
55,Scotland,5dd05d80b2204f1487f7812c,1,316.0
56,Scotland,5dd05d80b2204f1487f7812c,1,351.0
57,Scotland,5dd05d80b2204f1487f7812c,1,370.0
58,Scotland,5dd05d80b2204f1487f7812c,1,319.0
59,Scotland,5dd05d80b2204f1487f7812c,1,346.0
60,Scotland,5dd05d80b2204f1487f7812c,1,349.0
61,Scotland,5dd05d80b2204f1487f7812c,0,326.0
62,Scotland,5dd05d80b2204f1487f7812c,1,391.0
63,Scotland,5dd05d80b2204f1487f7812c,1,397.0
64,Scotland,5dd05d80b2204f1487f7812c,1,422.0
65,Scotland,5dd05d80b2204f1487f7812c,1,344.0
66,Scotland,5dd05d80b2204f1487f7812c,1,350.0
67,Scotland,5dd05d80b2204f1487f7812c,1,279.0
68,Scotland,5dd05d80b2204f1487f7812c,1,296.0
69,Scotland,5dd05d80b2204f1487f7812c,1,395.0
70,Scotland,5dd05d80b2204f1487f7812c,1,352.0
71,Scotland,5dd05d80b2204f1487f7812c,1,362.0
72,Scotland,5dd05d80b2204f1487f7812c,1,296.0
73,Scotland,5dd05d80b2204f1487f7812c,1,372.0
74,Scotland,5dd05d80b2204f1487f7812c,1,364.0
