,Country,ID,ACC,RT
0,Scotland,5ece79f8b7ffe109bd488629,1,463.375
1,Scotland,5ece79f8b7ffe109bd488629,1,381.455
2,Scotland,5ece79f8b7ffe109bd488629,1,387.8
3,Scotland,5ece79f8b7ffe109bd488629,1,379.64
4,Scotland,5ece79f8b7ffe109bd488629,1,361.73
5,Scotland,5ece79f8b7ffe109bd488629,1,473.915
6,Scotland,5ece79f8b7ffe109bd488629,1,444.375
7,Scotland,5ece79f8b7ffe109bd488629,1,441.235
8,Scotland,5ece79f8b7ffe109bd488629,1,410.11
9,Scotland,5ece79f8b7ffe109bd488629,1,442.7
10,Scotland,5ece79f8b7ffe109bd488629,1,450.38
11,Scotland,5ece79f8b7ffe109bd488629,1,508.77
12,Scotland,5ece79f8b7ffe109bd488629,1,389.67
13,Scotland,5ece79f8b7ffe109bd488629,1,443.785
14,Scotland,5ece79f8b7ffe109bd488629,1,479.89
15,Scotland,5ece79f8b7ffe109bd488629,1,454.225
16,Scotland,5ece79f8b7ffe109bd488629,1,453.87
17,Scotland,5ece79f8b7ffe109bd488629,1,409.07
18,Scotland,5ece79f8b7ffe109bd488629,0,443.55
19,Scotland,5ece79f8b7ffe109bd488629,1,418.99
20,Scotland,5ece79f8b7ffe109bd488629,1,445.98
21,Scotland,5ece79f8b7ffe109bd488629,1,454.885
22,Scotland,5ece79f8b7ffe109bd488629,1,466.285
23,Scotland,5ece79f8b7ffe109bd488629,1,464.57
24,Scotland,5ece79f8b7ffe109bd488629,1,412.8
25,Scotland,5ece79f8b7ffe109bd488629,1,428.03
26,Scotland,5ece79f8b7ffe109bd488629,1,415.865
27,Scotland,5ece79f8b7ffe109bd488629,1,402.04
28,Scotland,5ece79f8b7ffe109bd488629,1,417.875
29,Scotland,5ece79f8b7ffe109bd488629,1,361.7
30,Scotland,5ece79f8b7ffe109bd488629,1,430.42
31,Scotland,5ece79f8b7ffe109bd488629,1,449.725
32,Scotland,5ece79f8b7ffe109bd488629,1,367.08
33,Scotland,5ece79f8b7ffe109bd488629,1,470.935
34,Scotland,5ece79f8b7ffe109bd488629,1,394.885
35,Scotland,5ece79f8b7ffe109bd488629,1,492.155
36,Scotland,5ece79f8b7ffe109bd488629,1,378.595
37,Scotland,5ece79f8b7ffe109bd488629,1,349.75
38,Scotland,5ece79f8b7ffe109bd488629,1,462.45
39,Scotland,5ece79f8b7ffe109bd488629,1,423.155
40,Scotland,5ece79f8b7ffe109bd488629,1,338.12
41,Scotland,5ece79f8b7ffe109bd488629,1,407.105
42,Scotland,5ece79f8b7ffe109bd488629,1,343.7
43,Scotland,5ece79f8b7ffe109bd488629,1,371.945
44,Scotland,5ece79f8b7ffe109bd488629,1,433.12
45,Scotland,5ece79f8b7ffe109bd488629,1,505.85
46,Scotland,5ece79f8b7ffe109bd488629,1,371.46
47,Scotland,5ece79f8b7ffe109bd488629,1,367.03
48,Scotland,5ece79f8b7ffe109bd488629,1,439.235
49,Scotland,5ece79f8b7ffe109bd488629,1,498.505
50,Scotland,5ece79f8b7ffe109bd488629,1,391.145
51,Scotland,5ece79f8b7ffe109bd488629,1,410.625
52,Scotland,5ece79f8b7ffe109bd488629,1,496.77
53,Scotland,5ece79f8b7ffe109bd488629,1,428.16
54,Scotland,5ece79f8b7ffe109bd488629,1,425.04
55,Scotland,5ece79f8b7ffe109bd488629,1,411.52
56,Scotland,5ece79f8b7ffe109bd488629,1,413.06
57,Scotland,5ece79f8b7ffe109bd488629,1,542.44
58,Scotland,5ece79f8b7ffe109bd488629,1,433.63
59,Scotland,5ece79f8b7ffe109bd488629,1,401.14
60,Scotland,5ece79f8b7ffe109bd488629,1,371.66
61,Scotland,5ece79f8b7ffe109bd488629,1,387.635
62,Scotland,5ece79f8b7ffe109bd488629,1,370.165
63,Scotland,5ece79f8b7ffe109bd488629,1,360.595
64,Scotland,5ece79f8b7ffe109bd488629,1,382.45
65,Scotland,5ece79f8b7ffe109bd488629,1,369.085
66,Scotland,5ece79f8b7ffe109bd488629,1,334.63
67,Scotland,5ece79f8b7ffe109bd488629,1,333.655
68,Scotland,5ece79f8b7ffe109bd488629,1,386.91
69,Scotland,5ece79f8b7ffe109bd488629,1,426.845
70,Scotland,5ece79f8b7ffe109bd488629,1,342.125
71,Scotland,5ece79f8b7ffe109bd488629,1,331.215
72,Scotland,5ece79f8b7ffe109bd488629,1,429.78
73,Scotland,5ece79f8b7ffe109bd488629,1,363.24
