,Country,ID,ACC,RT
0,Scotland,5f0db2c89f0cbc043d3f06b8,1,334.5
1,Scotland,5f0db2c89f0cbc043d3f06b8,1,408.835
2,Scotland,5f0db2c89f0cbc043d3f06b8,1,431.25
3,Scotland,5f0db2c89f0cbc043d3f06b8,1,396.915
4,Scotland,5f0db2c89f0cbc043d3f06b8,1,447.295
5,Scotland,5f0db2c89f0cbc043d3f06b8,1,485.58
6,Scotland,5f0db2c89f0cbc043d3f06b8,0,452.415
7,Scotland,5f0db2c89f0cbc043d3f06b8,1,336.41
8,Scotland,5f0db2c89f0cbc043d3f06b8,1,409.46
9,Scotland,5f0db2c89f0cbc043d3f06b8,1,373.08
10,Scotland,5f0db2c89f0cbc043d3f06b8,1,430.75
11,Scotland,5f0db2c89f0cbc043d3f06b8,1,417.84
12,Scotland,5f0db2c89f0cbc043d3f06b8,1,451.96
13,Scotland,5f0db2c89f0cbc043d3f06b8,1,445.46
14,Scotland,5f0db2c89f0cbc043d3f06b8,0,446.63
15,Scotland,5f0db2c89f0cbc043d3f06b8,1,394.915
16,Scotland,5f0db2c89f0cbc043d3f06b8,1,338.585
17,Scotland,5f0db2c89f0cbc043d3f06b8,1,459.08
18,Scotland,5f0db2c89f0cbc043d3f06b8,1,321.585
19,Scotland,5f0db2c89f0cbc043d3f06b8,1,436.79
20,Scotland,5f0db2c89f0cbc043d3f06b8,1,504.125
21,Scotland,5f0db2c89f0cbc043d3f06b8,1,483.58
22,Scotland,5f0db2c89f0cbc043d3f06b8,0,464.085
23,Scotland,5f0db2c89f0cbc043d3f06b8,1,425.535
24,Scotland,5f0db2c89f0cbc043d3f06b8,1,405.0049999
25,Scotland,5f0db2c89f0cbc043d3f06b8,1,484.415
26,Scotland,5f0db2c89f0cbc043d3f06b8,1,410.375
27,Scotland,5f0db2c89f0cbc043d3f06b8,1,396.21
28,Scotland,5f0db2c89f0cbc043d3f06b8,1,390.12
29,Scotland,5f0db2c89f0cbc043d3f06b8,0,372.75
30,Scotland,5f0db2c89f0cbc043d3f06b8,1,486.42
31,Scotland,5f0db2c89f0cbc043d3f06b8,1,495.04
32,Scotland,5f0db2c89f0cbc043d3f06b8,1,506.505
33,Scotland,5f0db2c89f0cbc043d3f06b8,0,403.46
34,Scotland,5f0db2c89f0cbc043d3f06b8,1,303.25
35,Scotland,5f0db2c89f0cbc043d3f06b8,1,354.755
36,Scotland,5f0db2c89f0cbc043d3f06b8,1,321.79
37,Scotland,5f0db2c89f0cbc043d3f06b8,1,307.715
38,Scotland,5f0db2c89f0cbc043d3f06b8,1,428.33
39,Scotland,5f0db2c89f0cbc043d3f06b8,1,333.58
40,Scotland,5f0db2c89f0cbc043d3f06b8,1,362.585
41,Scotland,5f0db2c89f0cbc043d3f06b8,0,392.165
42,Scotland,5f0db2c89f0cbc043d3f06b8,1,424.54
43,Scotland,5f0db2c89f0cbc043d3f06b8,1,369.165
44,Scotland,5f0db2c89f0cbc043d3f06b8,1,394.375
45,Scotland,5f0db2c89f0cbc043d3f06b8,1,398.955
46,Scotland,5f0db2c89f0cbc043d3f06b8,1,390.75
47,Scotland,5f0db2c89f0cbc043d3f06b8,1,346.665
48,Scotland,5f0db2c89f0cbc043d3f06b8,1,300.625
49,Scotland,5f0db2c89f0cbc043d3f06b8,1,484.42
50,Scotland,5f0db2c89f0cbc043d3f06b8,1,510.335
51,Scotland,5f0db2c89f0cbc043d3f06b8,1,398.96
52,Scotland,5f0db2c89f0cbc043d3f06b8,1,333.125
53,Scotland,5f0db2c89f0cbc043d3f06b8,1,341.415
54,Scotland,5f0db2c89f0cbc043d3f06b8,0,439.085
55,Scotland,5f0db2c89f0cbc043d3f06b8,1,410.625
56,Scotland,5f0db2c89f0cbc043d3f06b8,1,394.67
57,Scotland,5f0db2c89f0cbc043d3f06b8,1,435.79
58,Scotland,5f0db2c89f0cbc043d3f06b8,1,356.6300001
59,Scotland,5f0db2c89f0cbc043d3f06b8,1,319.455
60,Scotland,5f0db2c89f0cbc043d3f06b8,1,375.795
61,Scotland,5f0db2c89f0cbc043d3f06b8,1,448.665
62,Scotland,5f0db2c89f0cbc043d3f06b8,1,366.75
63,Scotland,5f0db2c89f0cbc043d3f06b8,1,406.84
64,Scotland,5f0db2c89f0cbc043d3f06b8,1,505.085
65,Scotland,5f0db2c89f0cbc043d3f06b8,0,435.92
66,Scotland,5f0db2c89f0cbc043d3f06b8,1,366.335
67,Scotland,5f0db2c89f0cbc043d3f06b8,1,369.0
68,Scotland,5f0db2c89f0cbc043d3f06b8,1,384.46
69,Scotland,5f0db2c89f0cbc043d3f06b8,1,420.71
