,Country,ID,ACC,RT
0,Scotland,5f5899136db0c00116d2c9a5,1,601.0
1,Scotland,5f5899136db0c00116d2c9a5,1,500.0
2,Scotland,5f5899136db0c00116d2c9a5,1,504.0
3,Scotland,5f5899136db0c00116d2c9a5,0,456.0
4,Scotland,5f5899136db0c00116d2c9a5,1,476.0
5,Scotland,5f5899136db0c00116d2c9a5,1,508.0
6,Scotland,5f5899136db0c00116d2c9a5,1,547.0
7,Scotland,5f5899136db0c00116d2c9a5,1,497.0
8,Scotland,5f5899136db0c00116d2c9a5,1,501.0
9,Scotland,5f5899136db0c00116d2c9a5,1,486.0
10,Scotland,5f5899136db0c00116d2c9a5,1,617.0
11,Scotland,5f5899136db0c00116d2c9a5,1,516.0
12,Scotland,5f5899136db0c00116d2c9a5,1,415.0
13,Scotland,5f5899136db0c00116d2c9a5,1,455.0
14,Scotland,5f5899136db0c00116d2c9a5,1,551.0
15,Scotland,5f5899136db0c00116d2c9a5,1,542.0
16,Scotland,5f5899136db0c00116d2c9a5,1,506.0
17,Scotland,5f5899136db0c00116d2c9a5,1,391.0
18,Scotland,5f5899136db0c00116d2c9a5,1,487.0
19,Scotland,5f5899136db0c00116d2c9a5,1,460.0
20,Scotland,5f5899136db0c00116d2c9a5,1,526.0
21,Scotland,5f5899136db0c00116d2c9a5,1,471.0
22,Scotland,5f5899136db0c00116d2c9a5,1,491.0
23,Scotland,5f5899136db0c00116d2c9a5,1,482.0
24,Scotland,5f5899136db0c00116d2c9a5,1,504.0
25,Scotland,5f5899136db0c00116d2c9a5,1,566.0
26,Scotland,5f5899136db0c00116d2c9a5,1,664.0
27,Scotland,5f5899136db0c00116d2c9a5,1,599.0
28,Scotland,5f5899136db0c00116d2c9a5,1,582.0
29,Scotland,5f5899136db0c00116d2c9a5,1,437.0
30,Scotland,5f5899136db0c00116d2c9a5,0,535.0
31,Scotland,5f5899136db0c00116d2c9a5,1,554.0
32,Scotland,5f5899136db0c00116d2c9a5,1,560.0
33,Scotland,5f5899136db0c00116d2c9a5,1,618.0
34,Scotland,5f5899136db0c00116d2c9a5,1,524.0
35,Scotland,5f5899136db0c00116d2c9a5,1,528.0
36,Scotland,5f5899136db0c00116d2c9a5,1,467.0
37,Scotland,5f5899136db0c00116d2c9a5,1,430.0
38,Scotland,5f5899136db0c00116d2c9a5,1,461.0
39,Scotland,5f5899136db0c00116d2c9a5,1,478.0
40,Scotland,5f5899136db0c00116d2c9a5,1,405.0
41,Scotland,5f5899136db0c00116d2c9a5,1,385.0
42,Scotland,5f5899136db0c00116d2c9a5,1,462.0
43,Scotland,5f5899136db0c00116d2c9a5,1,407.0
44,Scotland,5f5899136db0c00116d2c9a5,1,356.0
45,Scotland,5f5899136db0c00116d2c9a5,1,419.0
46,Scotland,5f5899136db0c00116d2c9a5,1,419.0
47,Scotland,5f5899136db0c00116d2c9a5,1,454.0
48,Scotland,5f5899136db0c00116d2c9a5,1,448.0
49,Scotland,5f5899136db0c00116d2c9a5,1,455.0
50,Scotland,5f5899136db0c00116d2c9a5,1,436.0
51,Scotland,5f5899136db0c00116d2c9a5,1,466.0
52,Scotland,5f5899136db0c00116d2c9a5,1,442.0
53,Scotland,5f5899136db0c00116d2c9a5,1,428.0
54,Scotland,5f5899136db0c00116d2c9a5,1,573.0
55,Scotland,5f5899136db0c00116d2c9a5,1,377.0
56,Scotland,5f5899136db0c00116d2c9a5,1,392.0
57,Scotland,5f5899136db0c00116d2c9a5,1,464.0
58,Scotland,5f5899136db0c00116d2c9a5,1,488.0
59,Scotland,5f5899136db0c00116d2c9a5,1,420.0
60,Scotland,5f5899136db0c00116d2c9a5,1,494.0
61,Scotland,5f5899136db0c00116d2c9a5,1,460.0
62,Scotland,5f5899136db0c00116d2c9a5,1,496.0
63,Scotland,5f5899136db0c00116d2c9a5,1,599.0
64,Scotland,5f5899136db0c00116d2c9a5,1,519.0
65,Scotland,5f5899136db0c00116d2c9a5,1,490.0
66,Scotland,5f5899136db0c00116d2c9a5,1,496.0
67,Scotland,5f5899136db0c00116d2c9a5,1,546.0
68,Scotland,5f5899136db0c00116d2c9a5,1,524.0
69,Scotland,5f5899136db0c00116d2c9a5,1,551.0
70,Scotland,5f5899136db0c00116d2c9a5,1,510.0
71,Scotland,5f5899136db0c00116d2c9a5,1,506.0
72,Scotland,5f5899136db0c00116d2c9a5,1,600.0
73,Scotland,5f5899136db0c00116d2c9a5,1,473.0
74,Scotland,5f5899136db0c00116d2c9a5,1,477.0
