,Country,ID,ACC,RT
0,Scotland,5f8c84c12fb2023fc8be5b2d,1,516.055
1,Scotland,5f8c84c12fb2023fc8be5b2d,1,500.425
2,Scotland,5f8c84c12fb2023fc8be5b2d,1,514.285
3,Scotland,5f8c84c12fb2023fc8be5b2d,1,511.415
4,Scotland,5f8c84c12fb2023fc8be5b2d,1,485.42
5,Scotland,5f8c84c12fb2023fc8be5b2d,1,466.16
6,Scotland,5f8c84c12fb2023fc8be5b2d,1,489.185
7,Scotland,5f8c84c12fb2023fc8be5b2d,1,478.435
8,Scotland,5f8c84c12fb2023fc8be5b2d,1,513.59
9,Scotland,5f8c84c12fb2023fc8be5b2d,1,481.215
10,Scotland,5f8c84c12fb2023fc8be5b2d,1,493.29
11,Scotland,5f8c84c12fb2023fc8be5b2d,1,600.58
12,Scotland,5f8c84c12fb2023fc8be5b2d,0,467.84
13,Scotland,5f8c84c12fb2023fc8be5b2d,1,446.7
14,Scotland,5f8c84c12fb2023fc8be5b2d,1,517.935
15,Scotland,5f8c84c12fb2023fc8be5b2d,1,484.985
16,Scotland,5f8c84c12fb2023fc8be5b2d,1,580.965
17,Scotland,5f8c84c12fb2023fc8be5b2d,1,517.94
18,Scotland,5f8c84c12fb2023fc8be5b2d,1,442.82
19,Scotland,5f8c84c12fb2023fc8be5b2d,1,470.415
20,Scotland,5f8c84c12fb2023fc8be5b2d,1,550.81
21,Scotland,5f8c84c12fb2023fc8be5b2d,0,521.58
22,Scotland,5f8c84c12fb2023fc8be5b2d,1,509.945
23,Scotland,5f8c84c12fb2023fc8be5b2d,1,555.9
24,Scotland,5f8c84c12fb2023fc8be5b2d,1,482.545
25,Scotland,5f8c84c12fb2023fc8be5b2d,1,512.23
26,Scotland,5f8c84c12fb2023fc8be5b2d,1,480.68
27,Scotland,5f8c84c12fb2023fc8be5b2d,1,604.04
28,Scotland,5f8c84c12fb2023fc8be5b2d,1,517.27
29,Scotland,5f8c84c12fb2023fc8be5b2d,1,483.99
30,Scotland,5f8c84c12fb2023fc8be5b2d,1,524.84
31,Scotland,5f8c84c12fb2023fc8be5b2d,1,524.82
32,Scotland,5f8c84c12fb2023fc8be5b2d,1,477.48
33,Scotland,5f8c84c12fb2023fc8be5b2d,1,475.35
34,Scotland,5f8c84c12fb2023fc8be5b2d,1,593.67
35,Scotland,5f8c84c12fb2023fc8be5b2d,1,542.61
36,Scotland,5f8c84c12fb2023fc8be5b2d,1,425.38
37,Scotland,5f8c84c12fb2023fc8be5b2d,1,414.805
38,Scotland,5f8c84c12fb2023fc8be5b2d,1,408.885
39,Scotland,5f8c84c12fb2023fc8be5b2d,1,404.785
40,Scotland,5f8c84c12fb2023fc8be5b2d,1,409.18
41,Scotland,5f8c84c12fb2023fc8be5b2d,1,431.255
42,Scotland,5f8c84c12fb2023fc8be5b2d,1,439.1
43,Scotland,5f8c84c12fb2023fc8be5b2d,1,420.805
44,Scotland,5f8c84c12fb2023fc8be5b2d,1,404.42
45,Scotland,5f8c84c12fb2023fc8be5b2d,1,469.355
46,Scotland,5f8c84c12fb2023fc8be5b2d,1,420.035
47,Scotland,5f8c84c12fb2023fc8be5b2d,1,407.05
48,Scotland,5f8c84c12fb2023fc8be5b2d,1,519.715
49,Scotland,5f8c84c12fb2023fc8be5b2d,1,413.265
50,Scotland,5f8c84c12fb2023fc8be5b2d,1,438.59
51,Scotland,5f8c84c12fb2023fc8be5b2d,1,506.575
52,Scotland,5f8c84c12fb2023fc8be5b2d,1,369.005
53,Scotland,5f8c84c12fb2023fc8be5b2d,1,489.895
54,Scotland,5f8c84c12fb2023fc8be5b2d,1,394.98
55,Scotland,5f8c84c12fb2023fc8be5b2d,1,390.605
56,Scotland,5f8c84c12fb2023fc8be5b2d,1,394.945
57,Scotland,5f8c84c12fb2023fc8be5b2d,1,381.335
58,Scotland,5f8c84c12fb2023fc8be5b2d,1,399.33
59,Scotland,5f8c84c12fb2023fc8be5b2d,1,418.96
60,Scotland,5f8c84c12fb2023fc8be5b2d,1,457.73
61,Scotland,5f8c84c12fb2023fc8be5b2d,1,435.32
62,Scotland,5f8c84c12fb2023fc8be5b2d,1,438.34
63,Scotland,5f8c84c12fb2023fc8be5b2d,1,413.53
64,Scotland,5f8c84c12fb2023fc8be5b2d,1,397.96
65,Scotland,5f8c84c12fb2023fc8be5b2d,1,512.01
66,Scotland,5f8c84c12fb2023fc8be5b2d,1,429.53
67,Scotland,5f8c84c12fb2023fc8be5b2d,1,370.095
68,Scotland,5f8c84c12fb2023fc8be5b2d,1,521.355
69,Scotland,5f8c84c12fb2023fc8be5b2d,1,354.915
70,Scotland,5f8c84c12fb2023fc8be5b2d,1,428.14
71,Scotland,5f8c84c12fb2023fc8be5b2d,1,515.23
72,Scotland,5f8c84c12fb2023fc8be5b2d,1,380.5
73,Scotland,5f8c84c12fb2023fc8be5b2d,1,359.155
74,Scotland,5f8c84c12fb2023fc8be5b2d,1,381.735
