,Country,ID,ACC,RT
0,Scotland,5feef27983f6af185c8b3e4c,1,2305
1,Scotland,5feef27983f6af185c8b3e4c,1,520
2,Scotland,5feef27983f6af185c8b3e4c,1,1283
3,Scotland,5feef27983f6af185c8b3e4c,1,586
4,Scotland,5feef27983f6af185c8b3e4c,1,554
5,Scotland,5feef27983f6af185c8b3e4c,1,551
8,Scotland,5feef27983f6af185c8b3e4c,1,2825
10,Scotland,5feef27983f6af185c8b3e4c,1,1976
11,Scotland,5feef27983f6af185c8b3e4c,1,1030
12,Scotland,5feef27983f6af185c8b3e4c,1,2516
13,Scotland,5feef27983f6af185c8b3e4c,1,1330
14,Scotland,5feef27983f6af185c8b3e4c,0,1447
15,Scotland,5feef27983f6af185c8b3e4c,1,1425
16,Scotland,5feef27983f6af185c8b3e4c,1,930
17,Scotland,5feef27983f6af185c8b3e4c,1,513
18,Scotland,5feef27983f6af185c8b3e4c,1,559
19,Scotland,5feef27983f6af185c8b3e4c,1,616
20,Scotland,5feef27983f6af185c8b3e4c,1,421
21,Scotland,5feef27983f6af185c8b3e4c,1,695
22,Scotland,5feef27983f6af185c8b3e4c,1,501
23,Scotland,5feef27983f6af185c8b3e4c,1,596
24,Scotland,5feef27983f6af185c8b3e4c,1,536
25,Scotland,5feef27983f6af185c8b3e4c,1,560
26,Scotland,5feef27983f6af185c8b3e4c,1,1269
28,Scotland,5feef27983f6af185c8b3e4c,1,1953
29,Scotland,5feef27983f6af185c8b3e4c,1,655
30,Scotland,5feef27983f6af185c8b3e4c,1,532
31,Scotland,5feef27983f6af185c8b3e4c,1,775
32,Scotland,5feef27983f6af185c8b3e4c,1,532
33,Scotland,5feef27983f6af185c8b3e4c,1,1314
34,Scotland,5feef27983f6af185c8b3e4c,1,571
36,Scotland,5feef27983f6af185c8b3e4c,1,756
37,Scotland,5feef27983f6af185c8b3e4c,1,535
38,Scotland,5feef27983f6af185c8b3e4c,1,407
39,Scotland,5feef27983f6af185c8b3e4c,1,982
40,Scotland,5feef27983f6af185c8b3e4c,1,628
41,Scotland,5feef27983f6af185c8b3e4c,1,422
42,Scotland,5feef27983f6af185c8b3e4c,1,499
43,Scotland,5feef27983f6af185c8b3e4c,1,618
44,Scotland,5feef27983f6af185c8b3e4c,1,450
45,Scotland,5feef27983f6af185c8b3e4c,1,1002
46,Scotland,5feef27983f6af185c8b3e4c,1,623
47,Scotland,5feef27983f6af185c8b3e4c,1,406
48,Scotland,5feef27983f6af185c8b3e4c,1,512
50,Scotland,5feef27983f6af185c8b3e4c,1,1067
55,Scotland,5feef27983f6af185c8b3e4c,1,1498
56,Scotland,5feef27983f6af185c8b3e4c,1,2775
58,Scotland,5feef27983f6af185c8b3e4c,1,1887
59,Scotland,5feef27983f6af185c8b3e4c,1,805
60,Scotland,5feef27983f6af185c8b3e4c,1,512
61,Scotland,5feef27983f6af185c8b3e4c,1,558
62,Scotland,5feef27983f6af185c8b3e4c,1,532
63,Scotland,5feef27983f6af185c8b3e4c,1,438
64,Scotland,5feef27983f6af185c8b3e4c,1,376
65,Scotland,5feef27983f6af185c8b3e4c,1,644
66,Scotland,5feef27983f6af185c8b3e4c,1,431
67,Scotland,5feef27983f6af185c8b3e4c,1,414
68,Scotland,5feef27983f6af185c8b3e4c,1,498
69,Scotland,5feef27983f6af185c8b3e4c,1,2851
70,Scotland,5feef27983f6af185c8b3e4c,1,1523
71,Scotland,5feef27983f6af185c8b3e4c,1,690
72,Scotland,5feef27983f6af185c8b3e4c,1,638
73,Scotland,5feef27983f6af185c8b3e4c,1,381
74,Scotland,5feef27983f6af185c8b3e4c,1,487
75,Scotland,5feef27983f6af185c8b3e4c,1,622
