,Country,ID,ACC,RT
0,Scotland,5fff299e8f29266aa6292d0e,1,465.0
1,Scotland,5fff299e8f29266aa6292d0e,1,508.0
2,Scotland,5fff299e8f29266aa6292d0e,0,491.0
3,Scotland,5fff299e8f29266aa6292d0e,0,477.0
4,Scotland,5fff299e8f29266aa6292d0e,1,467.0
5,Scotland,5fff299e8f29266aa6292d0e,1,540.0
6,Scotland,5fff299e8f29266aa6292d0e,1,511.0
7,Scotland,5fff299e8f29266aa6292d0e,0,586.0
8,Scotland,5fff299e8f29266aa6292d0e,1,492.0
9,Scotland,5fff299e8f29266aa6292d0e,1,496.0
10,Scotland,5fff299e8f29266aa6292d0e,1,541.0
11,Scotland,5fff299e8f29266aa6292d0e,1,478.0
12,Scotland,5fff299e8f29266aa6292d0e,1,486.0
13,Scotland,5fff299e8f29266aa6292d0e,0,492.0
14,Scotland,5fff299e8f29266aa6292d0e,1,494.0
15,Scotland,5fff299e8f29266aa6292d0e,1,419.0
16,Scotland,5fff299e8f29266aa6292d0e,0,438.0
17,Scotland,5fff299e8f29266aa6292d0e,1,486.0
18,Scotland,5fff299e8f29266aa6292d0e,1,482.0
19,Scotland,5fff299e8f29266aa6292d0e,1,477.0
20,Scotland,5fff299e8f29266aa6292d0e,1,510.0
21,Scotland,5fff299e8f29266aa6292d0e,1,472.0
22,Scotland,5fff299e8f29266aa6292d0e,1,418.0
23,Scotland,5fff299e8f29266aa6292d0e,1,499.0
24,Scotland,5fff299e8f29266aa6292d0e,1,436.0
25,Scotland,5fff299e8f29266aa6292d0e,1,491.0
26,Scotland,5fff299e8f29266aa6292d0e,1,531.0
27,Scotland,5fff299e8f29266aa6292d0e,1,479.0
28,Scotland,5fff299e8f29266aa6292d0e,1,543.0
29,Scotland,5fff299e8f29266aa6292d0e,1,424.0
30,Scotland,5fff299e8f29266aa6292d0e,1,511.0
31,Scotland,5fff299e8f29266aa6292d0e,1,305.0
32,Scotland,5fff299e8f29266aa6292d0e,1,381.0
33,Scotland,5fff299e8f29266aa6292d0e,1,410.0
34,Scotland,5fff299e8f29266aa6292d0e,1,351.0
35,Scotland,5fff299e8f29266aa6292d0e,1,376.0
36,Scotland,5fff299e8f29266aa6292d0e,1,323.0
37,Scotland,5fff299e8f29266aa6292d0e,1,421.0
38,Scotland,5fff299e8f29266aa6292d0e,1,380.0
39,Scotland,5fff299e8f29266aa6292d0e,1,411.0
40,Scotland,5fff299e8f29266aa6292d0e,1,405.0
41,Scotland,5fff299e8f29266aa6292d0e,1,477.0
42,Scotland,5fff299e8f29266aa6292d0e,1,462.0
43,Scotland,5fff299e8f29266aa6292d0e,1,391.0
44,Scotland,5fff299e8f29266aa6292d0e,1,431.0
45,Scotland,5fff299e8f29266aa6292d0e,1,398.0
46,Scotland,5fff299e8f29266aa6292d0e,1,396.0
47,Scotland,5fff299e8f29266aa6292d0e,1,394.0
48,Scotland,5fff299e8f29266aa6292d0e,1,385.0
49,Scotland,5fff299e8f29266aa6292d0e,1,388.0
50,Scotland,5fff299e8f29266aa6292d0e,1,374.0
51,Scotland,5fff299e8f29266aa6292d0e,1,419.0
52,Scotland,5fff299e8f29266aa6292d0e,1,475.0
53,Scotland,5fff299e8f29266aa6292d0e,1,433.0
54,Scotland,5fff299e8f29266aa6292d0e,1,460.0
55,Scotland,5fff299e8f29266aa6292d0e,1,404.0
56,Scotland,5fff299e8f29266aa6292d0e,1,440.0
57,Scotland,5fff299e8f29266aa6292d0e,1,379.0
58,Scotland,5fff299e8f29266aa6292d0e,1,458.0
59,Scotland,5fff299e8f29266aa6292d0e,1,450.0
60,Scotland,5fff299e8f29266aa6292d0e,1,355.0
61,Scotland,5fff299e8f29266aa6292d0e,1,418.0
62,Scotland,5fff299e8f29266aa6292d0e,0,452.0
63,Scotland,5fff299e8f29266aa6292d0e,1,442.0
64,Scotland,5fff299e8f29266aa6292d0e,1,412.0
65,Scotland,5fff299e8f29266aa6292d0e,1,449.0
66,Scotland,5fff299e8f29266aa6292d0e,1,454.0
67,Scotland,5fff299e8f29266aa6292d0e,1,470.0
